36:1	Das|this ist|is das|the Geschlecht|genealogy Esaus|of-Esau der|who da|is heißt|called Edom|Edom
39:5	Und|and von|from der|the Zeit|time an|that da|when er|he ihn|him über|over sein|his Haus|house und|and alle|all seine|his Güter|possessions gesetzt|put-in-charge hatte|had segnete|blessed der|the HERR|LORD des|the Ägypters|Egyptian Haus|house um|for Josephs|Joseph's willen|sake und|and war|was eitel|nothing-but Segen|blessing des|of-the HERRN|LORD in|on allem|all was|that er|he hatte|had zu|in Hause|house und|and auf|in dem|the Felde|field
39:6	Darum|so ließ|left er|he alles|all unter|in Josephs|Joseph's Händen|charge was|that er|he hatte|had und|and nahm|concerned sich|himself keines|nothing Dinges|anything an|with solange|except er|his ihn|food hatte|he-ate nur|only daß|and er|he aß|ate und|and trank|drank Und|now Joseph|Joseph war|was schön|well-built und|and hübsch|handsome von|of Angesicht|appearance
39:7	Und|and es|it begab|happened sich|itself nach|after dieser|this Geschichte|time daß|that seines|his Herrn|master's Weib|wife ihre|her Augen|eyes auf|on Joseph|Joseph warf|cast und|and sprach|said Schlafe|lie bei|with mir|me
39:8	Er|he weigerte|refused sich|himself aber|but und|and sprach|said zu|to ihr|her Siehe|behold mein|my Herr|master nimmt|concerns sich|himself keines|nothing Dinges|any an|in vor|in mir|me was|that im|in-the Hause|house ist|is und|and alles|all was|that er|he hat|has das|what hat|has er|he unter|in meine|my Hände|charge getan|entrusted
39:9	und|and hat|has nichts|nothing so|so Großes|great in|in dem|this Hause|house das|what er|he mir|from-me verhohlen|withheld habe|has außer|except dir|you indem|because du|you sein|his Weib|wife bist|are Wie|how sollte|could ich|I denn|then nun|then ein|this solch|such groß|great Übel|wickedness tun|do und|and wider|against Gott|God sündigen|sin
39:10	Und|and sie|she trieb|spoke solche|such Worte|words gegen|to Joseph|Joseph täglich|day-after-day Aber|but er|he gehorchte|listened ihr|to-her nicht|not daß|to er|he nahe|beside bei|near ihr|her schliefe|lie noch|or um|with sie|her wäre|be
39:11	Es|it begab|happened sich|itself eines|one Tages|day daß|when Joseph|Joseph in|into das|the Haus|house ging|went sein|his Geschäft|work zu|to tun|do und|and war|was kein|no Mensch|one vom|of-the Gesinde|household des|of-the Hauses|household dabei|there
39:12	Und|and sie|she erwischte|caught ihn|him bei|by seinem|his Kleid|garment und|and sprach|said Schlafe|lie bei|with mir|me Aber|but er|he ließ|left das|the Kleid|garment in|in ihrer|her Hand|hand und|and floh|fled und|and lief|ran zum|out-of-the Hause|house hinaus|outside
39:13	Da|when sie|she nun|now sah|saw daß|that er|he sein|his Kleid|garment in|in ihrer|her Hand|hand ließ|left und|and hinaus|outside entfloh|fled
39:14	rief|called sie|she das|the Gesinde|servants im|of-the Hause|house und|and sprach|said zu|to ihnen|them Sehet|see er|he hat|has uns|to-us den|this hebräischen|Hebrew Mann|brought hereingebracht|brought daß|to er|he seinen|make-sport Mutwillen|mock mit|of uns|us treibe|make-sport Er|he kam|came zu|to mir|me herein|in und|and wollte|to bei|with mir|me schlafen|lie ich|I rief|cried aber|but mit|with lauter|a-loud Stimme|voice
39:15	Und|and da|when er|he hörte|heard daß|that ich|I ein|a Geschrei|voice machte|raised und|and rief|cried da|then ließ|left er|he sein|his Kleid|garment bei|beside mir|me und|and lief|ran hinaus|outside
39:16	Und|and sie|she legte|kept sein|his Kleid|garment neben|beside sich|her bis|until der|her Herr|master heimkam|came-home
39:17	und|and sagte|spoke zu|to ihm|him ebendieselben|the-same Worte|words und|and sprach|said Der|the hebräische|Hebrew Knecht|servant den|whom du|you uns|to-us hereingebracht|brought hast|have kam|came zu|to mir|me herein|in und|and wollte|to seinen|make-sport Mutwillen|mock mit|of mir|me treiben|make-sport
39:18	Da|when ich|I aber|but ein|my Geschrei|voice machte|raised und|and rief|cried da|then ließ|left er|he sein|his Kleid|garment bei|beside mir|me und|and floh|fled hinaus|outside
39:19	Als|when sein|his Herr|master hörte|heard die|the Rede|words seines|his Weibes|wife die|that sie|she ihm|to-him sagte|spoke und|and sprach|saying Also|thus hat|has mir|to-me dein|your Knecht|servant getan|done ward|burned er|his sehr|anger zornig|burned
39:20	Da|then nahm|took ihn|him sein|his Herr|master und|and legte|put ihn|him ins|into-the Gefängnis|prison darin|where des|the Königs|king's Gefangene|prisoners lagen|were-confined und|and er|he lag|was allda|there im|in-the Gefängnis|prison
39:21	Aber|but der|the HERR|LORD war|was mit|with ihm|him und|and neigte|extended seine|his Huld|kindness zu|to ihm|him und|and ließ|gave ihn|him Gnade|favor finden|find vor|in-the-eyes-of dem|the Amtmann|warden über|of das|the Gefängnis|prison
39:22	daß|so-that er|he ihm|him unter|in seine|his Hand|charge befahl|committed alle|all Gefangenen|prisoners im|in-the Gefängnis|prison auf|so daß|that alles|all was|that da|there geschah|was-done durch|through ihn|him geschehen|done mußte|was
39:23	Denn|because der|the Amtmann|warden des|of-the Gefängnisses|prison nahm|paid sich|himself keines|no Dinges|attention an|to denn|whatever der|the HERR|LORD war|was mit|with Joseph|Joseph und|and was|whatever er|he tat|did dazu|thereto gab|made der|the HERR|LORD Glück|succeed
40:1	Und|and es|it begab|happened sich|itself darnach|after-this daß|that sich|himself der|the Schenke|cupbearer des|of-the Königs|king in|of Ägypten|Egypt und|and der|the Bäcker|baker versündigten|offended an|against ihrem|their Herrn|master dem|the König|king von|of Ägypten|Egypt
40:2	Und|and Pharao|Pharaoh ward|became zornig|angry über|with seine|his beiden|two Kämmerer|officials über|with den|the Amtmann|chief über|of-the die|the Schenken|cupbearers und|and über|with den|the Amtmann|chief über|of-the die|the Bäcker|bakers
40:3	und|and ließ|put sie|them setzen|in in|in des|the Hauptmanns|captain Haus|house ins|into Gefängnis|custody da|where Joseph|Joseph lag|was-confined
40:4	Und|and der|the Hauptmann|captain setzte|assigned Joseph|Joseph über|to sie|them daß|to er|he ihnen|them diente|attend und|and sie|they saßen|remained etliche|some Tage|time im|in Gefängnis|custody
40:5	Und|and es|it träumte|dreamed ihnen|them beiden|both dem|the Schenken|cupbearer und|and dem|the Bäcker|baker des|of-the Königs|king von|of Ägypten|Egypt in|in einer|one Nacht|night einem|each jeglichen|each ein|a eigener|own Traum|dream und|and eines|each jeglichen|each Traum|dream hatte|had seine|its Bedeutung|interpretation
40:6	Da|when nun|now des|in-the Morgens|morning Joseph|Joseph zu|to ihnen|them hereinkam|came und|and sah|saw daß|that sie|they traurig|troubled waren|were
40:7	fragte|asked er|he sie|them und|and sprach|said Warum|why seid|are ihr|you heute|today so|so traurig|sad
40:8	Sie|they antworteten|said Es|a hat|have uns|us geträumt|dreamed und|and wir|we haben|have niemand|no-one der|who es|it uns|to-us auslege|interpret Joseph|Joseph sprach|said Auslegen|interpretations gehört|belong Gott|to-God zu|to doch|but erzählt|tell mir's|me
40:9	Da|then erzählte|told der|the oberste|chief Schenke|cupbearer seinen|his Traum|dream Joseph|to-Joseph und|and sprach|said zu|to ihm|him Mir|I hat|behold geträumt|dreamed daß|behold ein|a Weinstock|vine vor|before mir|me wäre|was
40:10	der|which hatte|had drei|three Reben|branches und|and er|it grünte|budded wuchs|blossomed und|and blühte|blossomed und|and seine|its Trauben|clusters wurden|produced reif|ripe
40:11	und|and ich|I hatte|had den|the Becher|cup Pharaos|of-Pharaoh in|in meiner|my Hand|hand und|and nahm|took die|the Beeren|grapes und|and zerdrückte|pressed sie|them in|into den|the Becher|cup und|and gab|put den|the Becher|cup Pharao|Pharaoh in|into die|the Hand|hand
40:12	Joseph|Joseph sprach|said zu|to ihm|him Das|this ist|is seine|its Deutung|interpretation Drei|three Reben|branches sind|are drei|three Tage|days
40:13	Über|in drei|three Tage|days wird|will Pharao|Pharaoh dein|your Haupt|head erheben|lift-up und|and dich|you wieder|back an|to dein|your Amt|position stellen|restore daß|and du|you ihm|him den|the Becher|cup in|into die|the Hand|hand gebest|put nach|as der|the vorigen|former Weise|manner da|when du|you sein|his Schenke|cupbearer warst|were
40:14	Aber|but gedenke|remember meiner|me wenn|when dir's|it wohl|goes-well geht|goes und|and tue|show Barmherzigkeit|kindness an|to mir|me daß|and du|you Pharao|to-Pharaoh erinnerst|mention-me daß|and er|he mich|me aus|from diesem|this Hause|house führe|bring-out
40:15	Denn|for ich|I bin|was aus|from dem|the Lande|land der|of-the Hebräer|Hebrews heimlich|forcibly gestohlen|taken dazu|and habe|have ich|I auch|also allhier|here nichts|nothing getan|done daß|that sie|they mich|me eingesetzt|put haben|have
40:16	Da|when der|the oberste|chief Bäcker|baker sah|saw daß|that die|the Deutung|interpretation gut|favorable war|was sprach|said er|he zu|to Joseph|Joseph Mir|I hat|had auch|also geträumt|dreamed ich|I trüge|behold drei|three weiße|white Körbe|baskets auf|on meinem|my Haupt|head
40:17	und|and im|in-the obersten|top Korbe|basket allerlei|all-kinds-of gebackene|baked Speise|food für|for den|the Pharao|Pharaoh und|and die|the Vögel|birds aßen|were-eating aus|from dem|the Korbe|basket auf|on meinem|my Haupt|head
40:18	Joseph|Joseph antwortete|said und|and sprach|said Das|this ist|is seine|its Deutung|interpretation Drei|three Körbe|baskets sind|are drei|three Tage|days
40:19	und|and nach|in drei|three Tagen|days wird|will dir|from-you Pharao|Pharaoh dein|your Haupt|head erheben|lift-up und|and dich|you an|on den|a Galgen|pole hängen|hang und|and die|the Vögel|birds werden|will dein|your Fleisch|flesh von|off dir|you essen|eat
40:20	Und|and es|it geschah|happened des|on-the dritten|third Tages|day da|when beging|celebrated Pharao|Pharaoh seinen|his Jahrestag|birthday und|and er|he machte|gave eine|a Mahlzeit|feast allen|all seinen|his Knechten|servants und|and erhob|lifted das|the Haupt|head des|of-the obersten|chief Schenken|cupbearer und|and das|the Haupt|head des|of-the obersten|chief Bäckers|baker unter|among den|his Knechten|servants
40:21	und|and setzte|restored den|the obersten|chief Schenken|cupbearer wieder|back in|to sein|his Schenkamt|office daß|so-that er|he den|the Becher|cup reicht|put in|into Pharaos|Pharaoh's Hand|hand
40:22	aber|but den|the obersten|chief Bäcker|baker ließ|had er|he henken|hanged wie|just-as ihnen|to-them Joseph|Joseph gedeutet|interpreted hatte|had
40:23	Aber|but der|the oberste|chief Schenke|cupbearer gedachte|remembered nicht|not an|to Joseph|Joseph sondern|but vergaß|forgot ihn|him
