1:1	Am|in-the Anfang|beginning schuf|created Gott|God Himmel|heaven und|and Erde|earth
5:11	daß|thus sein|of ganzes|all Alter|days ward|were neunhundertundfünf|nine-hundred-five Jahre|years und|and starb|died
5:12	Kenan|Kenan war|had-lived siebzig|seventy Jahre|years alt|old und|and zeugte|fathered Mahalaleel|Mahalalel
5:13	und|and lebte|lived darnach|after achthundertundvierzig|eight-hundred-forty Jahre|years und|and zeugte|fathered Söhne|sons und|and Töchter|daughters
5:14	daß|thus sein|of ganzes|all Alter|days ward|were neunhundertundzehn|nine-hundred-ten Jahre|years und|and starb|died
5:15	Mahalaleel|Mahalalel war|had-lived fünfundsechzig|sixty-five Jahre|years und|and zeugte|fathered Jared|Jared
5:16	und|and lebte|lived darnach|after achthundertunddreißig|eight-hundred-thirty Jahre|years und|and zeugte|fathered Söhne|sons und|and Töchter|daughters
5:17	daß|thus sein|of ganzes|all Alter|days ward|were achthundert|eight-hundred und|and fünfundneunzig|ninety-five Jahre|years und|and starb|died
5:18	Jared|Jared war|had-lived hundertzweiundsechzig|one-hundred-sixty-two Jahre|years alt|old und|and zeugte|fathered Henoch|Enoch
5:19	und|and er|he lebte|lived darnach|after achthundert|eight-hundred Jahre|years und|and zeugte|fathered Söhne|sons und|and Töchter|daughters
5:20	daß|thus sein|of ganzes|all Alter|days ward|were neunhundert|nine-hundred und|and zweiundsechzig|sixty-two Jahre|years und|and starb|died
5:21	Henoch|Enoch war|had-lived fünfundsechzig|sixty-five Jahre|years alt|old und|and zeugte|fathered Methusalah|Methuselah
5:22	Und|and nachdem|after er|he Methusalah|Methuselah gezeugt|fathered hatte|had blieb|walked er|walked in|with einem|with göttlichen|God Leben|God dreihundert|three-hundred Jahre|years und|and zeugte|fathered Söhne|sons und|and Töchter|daughters
5:23	daß|thus sein|of ganzes|all Alter|days ward|were dreihundertfünfundsechzig|three-hundred-sixty-five Jahre|years
5:24	Und|and dieweil|since er|Enoch ein|with göttliches|God Leben|walked führte|walked nahm|took ihn|him Gott|God hinweg|away und|and er|he ward|was nicht|no mehr|more gesehen|found
5:25	Methusalah|Methuselah war|had-lived hundertsiebenundachtzig|one-hundred-eighty-seven Jahre|years alt|old und|and zeugte|fathered Lamech|Lamech
5:26	und|and lebte|lived darnach|after siebenhundert|seven-hundred und|and zweiundachtzig|eighty-two Jahre|years und|and zeugte|fathered Söhne|sons und|and Töchter|daughters
5:27	daß|thus sein|of ganzes|all Alter|days ward|were neunhundert|nine-hundred und|and neunundsechzig|sixty-nine Jahre|years und|and starb|died
5:28	Lamech|Lamech war|had-lived hundertzweiundachtzig|one-hundred-eighty-two Jahre|years alt|old und|and zeugte|fathered einen|a Sohn|son
5:29	und|and hieß|called ihn|his-name Noah|Noah und|and sprach|saying Der|this-one wird|shall uns|us trösten|bring-relief in|from unsrer|our Mühe|work und|and Arbeit|painful-toil auf|from der|the Erde|ground die|which der|the HERR|LORD verflucht|cursed hat|has
5:30	Darnach|after lebte|lived er|he fünfhundert|five-hundred und|and fünfundneunzig|ninety-five Jahre|years und|and zeugte|fathered Söhne|sons und|and Töchter|daughters
5:31	daß|thus sein|of ganzes|all Alter|days ward|were siebenhundert|seven-hundred siebenundsiebzig|seventy-seven Jahre|years und|and starb|died
5:32	Noah|Noah war|was fünfhundert|five-hundred Jahre|years alt|old und|and zeugte|fathered Sem|Shem Ham|Ham und|and Japheth|Japheth
