1:1	Adam|the-man Seth|Seth Enos|Enosh
7:22	Und|and ihr|you Vater|father Ephraim|Ephraim trug|bore lange|many Zeit|time Leid|mourning und|and seine|his Brüder|brothers kamen|came ihn|him zu|to trösten|comfort
7:23	Und|and er|he ging|went ein|a zu|to seinem|his Weibe|wife die|the ward|was schwanger|conceive und|and gebar|beget einen|a Sohn|old den|the hieß|call er|he Beria|Beriah darum|therefore daß|and es|it in|in seinem|his Hause|household übel|evil zuging|be thou
7:24	Seine|his Tochter|daughter aber|but war|was Seera|[Seera] die|the baute|build das|the niedere|nether und|and obere|High Beth-|[Beth-] Horon|Bethhoron und|and Usen-|[Usen-] Seera|[Seera]
7:25	Des|of-the Sohn|old war|was Repha|[Repha] und|and Reseph|[Reseph] des|of-the Sohn|old war|was Thelah|[Thelah] des|of-the Sohn|old war|was Thahan|Tahan
7:26	des|of-the Sohn|old war|was Laedan|[Laedan] des|of-the Sohn|old war|was Ammihud|Ammihud des|of-the Sohn|old war|was Elisama|[Elisama]
7:27	des|of-the Sohn|old war|was Nun|Nun des|of-the Sohn|old war|was Josua|Joshua
7:28	Und|and ihre|their Habe|have und|and Wohnung|habitation war|was Beth-|[Beth-] El|Bethel und|and seine|his Ortschaften|daughter und|and gegen|toward Aufgang|east Naeran|[Naeran] und|and gegen|toward Abend|west Geser|Gezer und|and seine|his Ortschaften|daughter Sichem|Shechem und|and seine|his Ortschaften|daughter bis|until gen|ever Ajia|Gaza und|and seine|his Ortschaften|daughter
7:29	und|and an|above der|the Seite|by der|the Kinder|old Manasse|Manasseh Beth-|[Beth-] Sean|Bethshean und|and seine|his Ortschaften|daughter Thaanach|Taanach und|and seine|his Ortschaften|daughter Megiddo|Megiddo und|and seine|his Ortschaften|daughter Dor|Dor und|and seine|his Ortschaften|daughter In|in diesen|this wohnten|dwell die|the Kinder|old Josephs|Joseph des|of-the Sohnes|old Israels|Israelites
7:30	Die|the Kinder|old Asser|Asher waren|were diese|these Jimna|Jimnah Jiswa|Ishui Jiswi|Ishuai Beria|Beriah und|and Serah|Serah ihre|their Schwester|sister
7:31	Die|the Kinder|old Berias|Beriah waren|were Heber|Heber und|and Malchiel|Malchiel das|he ist|is der|the Vater|father Birsawiths|[Birsawiths]
7:32	Heber|Heber aber|but zeugte|beget Japhlet|[Japhlet] Semer|[Semer] Hotham|[Hotham] und|and Sua|Shua ihre|their Schwester|sister
7:33	Die|the Kinder|old Japhlets|[Japhlets] waren|were Pasach|[Pasach] Bimehal|[Bimehal] und|and Aswath|[Aswath] das|the waren|were die|the Kinder|old Japhlets|[Japhlets]
7:34	Die|the Kinder|old Semers|[Semers] waren|were Ahi|[Ahi] Rohga|[Rohga] Jehubba|[Jehubba] und|and Aram|Aram
7:35	Und|and die|the Kinder|old seines|his Bruders|brother Helem|[Helem] waren|were Zophah|[Zophah] Jimna|Imnah Seles|[Seles] und|and Amal|[Amal]
7:36	Die|the Kinder|old Zophas|[Zophas] waren|were Suah|Shuah Harnepher|[Harnepher] Sual|[Sual] Beri|[Beri] Jimra|[Jimra]
7:37	Bezer|Bezer Hod|[Hod] Samma|Shammah Silsa|[Silsa] Jethran|Ithran und|and Beera|[Beera]
7:38	Die|the Kinder|old Jethers|Jether waren|were Jephunne|Jephunneh Phispa|[Phispa] und|and Ara|[Ara]
7:39	Die|the Kinder|old Ullas|[Ullas] waren|were Arah|[Arah] Hanniel|Haniel und|and Rizja|[Rizja]
7:40	Diese|these waren|were alle|all (manner Kinder|old Assers|of-Asher Häupter|head ihrer|their Vaterhäuser|[Vaterhäuser] auserlesene|pure gewaltige|army Männer|mighty und|and Häupter|head über|over Fürsten|prince Und|and wurden|were aufgezeichnet|genealogy ins|into-the Heer|host zum|as-a Streit|war an|to ihrer|their Zahl|number sechsundzwanzigtausend|six Mann|man
8:1	Benjamin|Benjamin aber|but zeugte|beget Bela|Bela seinen|his ersten|firstborn Sohn|firstborn Asbal|[Asbal] den|the zweiten|second Ahrah|[Ahrah] den|the dritten|third
8:2	Noha|[Noha] den|the vierten|fourth Rapha|[Rapha] den|the fünften|fifth
8:3	Und|and Bela|Bela hatte|be thou Kinder|old Addar|[Addar] Gera|Gera Abihud|[Abihud]
8:4	Abisua|[Abisua] Naeman|Naaman Ahoah|[Ahoah]
8:5	Gera|Gera Sephuphan|Shupham und|and Huram|[Huram]
8:6	Dies|this sind|are die|the Kinder|old Ehuds|[Ehuds] die|the da|then Häupter|head waren|walk der|the Vaterhäuser|[Vaterhäuser] unter|under den|the Bürgern|dwell zu|to Geba|Geba und|and zogen|went weg|uncover gen|to Manahath|Manahath
8:7	nämlich|namely Naeman|Naaman Ahia|[Ahia] und|and Gera|Gera derselbe|he führte|brought sie|they weg|uncover und|and er|he zeugte|beget Usa|Uzza und|and Abihud|[Abihud]
8:8	Und|and Saharaim|[Saharaim] zeugte|beget im|in-the Lande|field Moab|Moab da|stringed instrument er|he von|from sich|himself gelassen|[gelassen] hatte|send seine|his Weiber|wives Husim|Hushim und|and Baara|[Baara]
8:9	und|and er|he zeugte|beget von|stringed instrument Hodes|[Hodes] seinem|his Weibe|wife Jobab|Jobab Zibja|[Zibja] Mesa|Mesha Malcham|[Malcham]
8:10	Jeuz|[Jeuz] Sachja|[Sachja] und|and Mirma|[Mirma] Das|the sind|are seine|his Kinder|old Häupter|head der|the Vaterhäuser|[Vaterhäuser]
8:11	Von|stringed instrument Husim|Hushim aber|but zeugte|fathered er|beget Abitob|[Abitob] und|and Elpaal|[Elpaal]
8:12	die|the Kinder|old aber|but Elpaals|[Elpaals] waren|were Eber|Eber Miseam|[Miseam] und|and Semer|[Semer] Derselbe|he baute|build Ono|[Ono] und|and Lod|Lod und|and ihre|their Ortschaften|daughter
8:13	Und|and Beria|Beriah und|and Sema|Shema waren|were Häupter|head der|the Vaterhäuser|[Vaterhäuser] unter|under den|the Bürgern|dwell zu|to Ajalon|[Ajalon] sie|walk verjagten|flee die|dwell zu|to Gath|Gath
8:14	Ahjo|[Ahjo] aber|but Sasak|[Sasak] Jeremoth|Jerimoth
8:15	Sebadja|Zebadiah Arad|Arad Ader|[Ader]
8:16	Michael|Michael Jispa|[Jispa] und|and Joha|[Joha] das|the sind|are Kinder|old Berias|Beriah
8:17	Sebadja|Zebadiah Mesullam|Meshullam Hiski|[Hiski] Heber|Heber
8:18	Jismerai|[Jismerai] Jislia|[Jislia] Jobab|Jobab das|the sind|are Kinder|old Elpaals|[Elpaals]
8:19	Jakim|[Jakim] Sichri|Zichri Sabdi|Zabdi
8:20	Eljoenai|[Eljoenai] Zilthai|[Zilthai] Eliel|[Eliel]
8:21	Adaja|Adaiah Braja|[Braja] und|and Simrath|[Simrath] das|the sind|are Kinder|old Simeis|Shimei
8:22	Jispan|[Jispan] Eber|Eber Eliel|[Eliel]
8:23	Abdon|Abdon Sichri|Zichri Hanan|Hanan
8:24	Hananja|Hananiah Elam|Elam Anthothja|[Anthothja]
8:25	Jephdeja|[Jephdeja] und|and Pnuel|Penuel das|the sind|are die|the Kinder|old Sasaks|[Sasaks]
8:26	Samserai|[Samserai] Seharja|[Seharja] Athalja|Athaliah
8:27	Jaeresja|[Jaeresja] Elia|[Elia] und|and Sichri|Zichri das|the sind|are Kinder|old Jerohams|Jeroham
8:28	das|the sind|are die|the Häupter|head der|the Vaterhäuser|[Vaterhäuser] ihrer|their Geschlechter|generations die|the zu|to Jerusalem|Jerusalem wohnten|dwell
8:29	Aber|but zu|to Gibeon|Gibeon wohnte|dwell der|the Vater|father Gibeons|Gibeon und|and sein|his Weib|wife hieß|name Maacha|Maachah
8:30	und|and sein|his erster|firstborn Sohn|old war|was Abdon|Abdon Zur|Zur Kis|Kish Baal|Baal Nadab|Nadab
8:31	Gedo|[Gedo] Ahjo|[Ahjo] Secher|[Secher]
8:32	Mikloth|[Mikloth] aber|but zeugte|beget Simea|[Simea] Und|and auch|also sie|walk wohnten|dwell ihren|their Brüdern|brothers gegenüber|tell zu|to Jerusalem|Jerusalem mit|hide ihnen|them
8:33	Ner|[Ner] zeugte|beget Kis|Kish Kis|Kish zeugte|beget Saul|Saul Saul|Saul zeugte|beget Jonathan|Jonathan Malchisua|[Malchisua] Abinadab|[Abinadab] und|and Esbaal|[Esbaal]
8:34	Der|the Sohn|old aber|but Jonathans|Jonathan war|was Merib-|[Merib-] Baal|[Baal] Merib-|[Merib-] Baal|[Baal] zeugte|beget Micha|Micah
8:35	Die|the Kinder|old Michas|Micah waren|were Pithon|[Pithon] Melech|Melech Tharea|[Tharea] und|and Ahas|[Ahas]
8:36	Ahas|[Ahas] aber|but zeugte|beget Joadda|[Joadda] Joadda|[Joadda] zeugte|beget Alemeth|[Alemeth] Asmaveth|Azmaveth und|and Simri|Zimri Simri|Zimri zeugte|beget Moza|[Moza]
8:37	Moza|[Moza] zeugte|beget Binea|[Binea] des|of-the Sohn|old war|was Rapha|[Rapha] des|of-the Sohn|old war|was Eleasa|[Eleasa] des|of-the Sohn|old war|was Azel|[Azel]
8:38	Azel|[Azel] aber|but hatte|had sechs|six Söhne|old die|the hießen|name Asrikam|Azrikam Bochru|[Bochru] Ismael|Ishmael Searja|[Searja] Obadja|Obadiah Hanan|Hanan Die|the waren|were alle|all (manner Söhne|old Azels|[Azels]
8:39	Die|the Kinder|old Eseks|[Eseks] seines|his Bruders|brother waren|were Ulam|[Ulam] sein|his erster|firstborn Sohn|son Jeus|Jeush der|the andere|second Eliphelet|[Eliphelet] der|the dritte|third
8:40	Die|the Kinder|old aber|but Ulams|[Ulams] waren|be thou gewaltige|army Leute|men und|and geschickt|tread mit|with Bogen|bow und|and hatten|multiply viele|many Söhne|old und|and Sohnes-|[Sohnes-] Söhne|old hundertfünfzig|hundred Die|the sind|are alle|all (manner von|stringed instrument den|the Kindern|old Benjamins|Benjamin
9:1	Und|and das|the ganze|all (manner Israel|Israelites ward|was aufgezeichnet|genealogy und|and siehe|behold sie|they sind|are aufgeschrieben|write im|above Buch|book der|the Könige|royal Israels|Israelites und|and Juda|Judah ward|was weggeführt|uncover gen|to Babel|Babel um|for seiner|his Missetat|trespass willen|sake
9:2	Und|and die|the zuerst|first wohnten|dwell auf|on ihren|their Gütern|possessions und|and Städten|town waren|were Israel|Israelites Priester|priest Leviten|Levite und|and Tempelknechte|Nethinims
9:3	Und|and zu|to Jerusalem|Jerusalem wohnten|dwell etliche|stringed instrument der|the Kinder|old Juda|Judah etliche|stringed instrument der|the Kinder|old Benjamin|Benjamin etliche|stringed instrument der|the Kinder|old Ephraim|Ephraim und|and Manasse|Manasseh
9:4	nämlich|namely aus|from den|the Kindern|old des|of-the Perez|Pharez des|of-the Sohnes|old Juda|Judah s|Judah war|was Uthai|Uthai der|the Sohn|old Ammihuds|Ammihud des|of-the Sohnes|old Omris|Omri des|of-the Sohnes|old Imris|[Imris] des|of-the Sohnes|old Banis|Bani
9:5	von|stringed instrument den|the Selaniter|[Selaniter] aber|but Asaja|[Asaja] der|the erste|first Sohn|firstborn und|and seine|his Söhne|old
9:6	von|stringed instrument den|the Kindern|old Serah|Zerah Jeguel|[Jeguel] und|and seine|his Brüder|brothers sechshundertundneunzig|six
9:7	von|stringed instrument den|the Kindern|old Benjamin|Benjamin Sallu|Sallu der|the Sohn|old Mesullams|Meshullam des|of-the Sohnes|old Hodavjas|Hodaviah des|of-the Sohnes|old Hasnuas|Senuah
9:8	und|and Jibneja|[Jibneja] der|the Sohn|old Jerohams|Jeroham und|and Ela|Elah der|the Sohn|old Usis|Uzzi des|of-the Sohnes|old Michris|[Michris] und|and Mesullam|Meshullam der|the Sohn|old Sephatjas|Shephatiah des|of-the Sohnes|old Reguels|Reuel des|of-the Sohnes|old Jibnejas|[Jibnejas]
9:9	dazu|also ihre|their Brüder|brothers in|in ihren|their Geschlechtern|generations neunhundertsechsundfünfzig|nine Alle|all (manner diese|these Männer|men waren|were Häupter|head in|in ihren|their Vaterhäusern|[Vaterhäusern]
9:10	Von|stringed instrument den|the Priestern|priest aber|but Jedaja|Jedaiah Jojarib|[Jojarib] Jachin|Jachin
9:11	und|and Asarja|Azariah der|the Sohn|old Hilkias|Hilkiah des|of-the Sohnes|old Mesullams|Meshullam des|of-the Sohnes|old Zadoks|Zadok des|of-the Sohnes|old Merajoths|Meraioth des|of-the Sohnes|old Ahitobs|[Ahitobs] ein|a Fürst|ruler im|in-the Hause|household Gottes|of-God
9:12	und|and Adaja|Adaiah der|the Sohn|old Jerohams|Jeroham des|of-the Sohnes|old Pashurs|Pashur des|of-the Sohnes|old Malchias|Malchiah und|and Maesai|[Maesai] der|the Sohn|old Abdiels|[Abdiels] des|of-the Sohnes|old Jahseras|[Jahseras] des|of-the Sohnes|old Mesullams|Meshullam des|of-the Sohnes|old Mesillemiths|[Mesillemiths] des|of-the Sohnes|old Immers|[Immers]
9:13	dazu|also ihre|their Brüder|brothers Häupter|head ihrer|their Vaterhäuser|[Vaterhäuser] tausendsiebenhundert|[tausendsiebenhundert] und|and sechzig|threescore tüchtige|army Leute|mighty im|in-the Geschäft|work des|of-the Amtes|service im|in-the Hause|household Gottes|of-God
9:14	Von|stringed instrument den|the Leviten|Levite aber|but aus|stringed instrument den|the Kinder|old Meraris|Merari Semaja|Shemaiah der|the Sohn|old Hassubs|Hashub des|of-the Sohnes|old Asrikams|Azrikam des|of-the Sohnes|old Hasabjas|Hashabiah
9:15	und|and Bakbakkar|[Bakbakkar] Heres|[Heres] und|and Galal|Galal und|and Matthanja|Mattaniah der|the Sohn|old Michas|Micha des|of-the Sohnes|old Sichris|Zichri des|of-the Sohnes|old Asaphs|[Asaphs]
9:16	und|and Obadja|Obadiah der|the Sohn|old Semajas|Shemaiah des|of-the Sohnes|old Galals|Galal des|of-the Sohnes|old Jeduthuns|Jeduthun und|and Berechja|Berechiah der|the Sohn|old Asas|[Asas] des|of-the Sohnes|old Elkanas|[Elkanas] der|the in|in den|the Dörfern|court der|the Netophathiter|Netophathite wohnte|dwell
9:17	Die|the Pförtner|porter aber|but waren|were Sallum|Shallum Akkub|Akkub Talmon|Talmon Ahiman|[Ahiman] mit|with ihren|their Brüdern|brothers und|and Sallum|Shallum war|was der|the Oberste|head
9:18	und|and er|he hat|has bisher|ever am|on-the Tor|gate des|of-the Königs|royal gegen|toward Aufgang|east gewartet|[gewartet] Dies|walk sind|are die|the Pförtner|porter in|in den|the Lagern|camp der|the Kinder|old Levi|Levi
9:19	Und|and Sallum|Shallum der|the Sohn|old Kores|[Kores] des|of-the Sohnes|old Abiasaphs|[Abiasaphs] des|of-the Sohnes|old Korahs|Korah und|and seine|his Brüder|brothers aus|from seinem|his Vaterhause|[Vaterhause] die|the Korahiter|Korhites waren|were im|above Geschäft|work des|of-the Amts|service daß|that sie|they warteten|keep an|to der|the Schwelle|door der|the Hütte|tent wie|as auch|also ihre|their Väter|fathers im|above Lager|camp des|of-the HERRN|GOD des|of-the Eingangs|entry gewartet|[gewartet] hatten|keep
9:20	Pinehas|Phinehas aber|but der|the Sohn|old Eleasars|[Eleasars] war|be thou vorzeiten|face Fürst|ruler über|above sie|they darum|therefore daß|hide der|the HERR|GOD mit|with ihm|him gewesen|been war|was
9:21	Sacharja|Zachariah aber|but der|the Sohn|old Meselemjas|[Meselemjas] war|was Hüter|porter am|on-the Tor|door der|the Hütte|tent des|of-the Stifts|congregation
9:22	Alle|all (manner diese|these waren|were auserlesen|pure zu|to Hütern|porter an|to der|the Schwelle|door zweihundertundzwölf|hundred die|walk waren|were aufgezeichnet|genealogy in|in ihren|their Dörfern|court Und|and David|David und|and Samuel|Samuel der|the Seher|see setzten|foundation sie|walk ein|foundation auf|on Glauben|believe
9:23	daß|that sie|walk und|and ihre|their Kinder|old hüten|keep sollten|above die|the Tore|gate am|on-the Hause|household des|of-the HERRN|GOD nämlich|namely an|to dem|the Hause|household der|the Hütte|tent daß|that sie|they sein|his warteten|charge
9:24	Es|it waren|be thou aber|but solche|these Torwächter|porter gegen|toward die|the vier|four Winde|wind gestellt|set gegen|toward Morgen|east gegen|toward Abend|sea gegen|toward Mitternacht|north gegen|toward Mittag|south
9:25	Ihre|their Brüder|brothers aber|but waren|were auf|on ihren|their Dörfern|court daß|that sie|they hereinkämen|[hereinkämen] allezeit|stringed instrument je|two des|of-the siebenten|seven Tages|time bei|hide ihnen|them zu|to sein|his
9:26	Denn|and auf|on Glauben|believe waren|walk diese|these die|the vier|four obersten|mighty Torhüter|porter Und|and die|walk Leviten|Levite waren|be thou über|above die|the Kammern|chamber und|above Schätze|[Schätze] im|in-the Hause|household Gottes|of-God
9:27	Auch|also blieben|spent-the-night sie|they über|over Nacht|lodge um|circuits das|the Haus|household Gottes|of-God denn|and es|it gebührte|[gebührte] ihnen|above die|the Hut|charge daß|that sie|walk alle|morning Morgen|morning auftäten|above
9:28	Und|and etliche|some aus|stringed instrument ihnen|walk waren|were über|above das|the Gerät|vessel des|of-the Amts|service denn|and sie|they trugen|bore s|[s] gezählt|number aus|from und|and ein|bring
9:29	und|and ihrer|their etliche|stringed instrument waren|were bestellt|number über|above die|the Gefäße|vessel und|and über|above alles|all (manner heilige|holy Gerät|vessel über|above Semmelmehl|flour über|over Wein|wine über|over Öl|oil über|over Weihrauch|frankincense über|over Spezereien|spice
9:30	Und|stringed instrument der|the Priester|priest Kinder|old machten|made etliche|apothecary das|the Salböl|compound mit|with Spezereien|spice
9:31	Und|and Matthithja|Mattithiah aus|stringed instrument den|the Leviten|Levite dem|he ersten|firstborn Sohn|firstborn Sallums|Shallum des|of-the Korahiters|Korhites waren|were vertraut|[vertraut] die|the Pfannen|[Pfannen]
9:32	Aus|stringed instrument den|the Kahathitern|old aber|but ihren|their Brüdern|brothers waren|were etliche|above über|over die|the Schaubrote|bread sie|they zuzurichten|shewbread auf|on alle|sabbath Sabbate|sabbath
9:33	Jene|them aber|but sind|are die|the Sänger|sing die|the Häupter|head der|the Vaterhäuser|[Vaterhäuser] der|the Leviten|Levite die|the in|in den|the Kammern|chamber keinen|no Dienst|service hatten|open denn|and Tag|day und|and Nacht|night waren|were sie|they in|above ihrem|her Geschäft|work
9:34	Das|the sind|are die|the Häupter|head der|the Vaterhäuser|[Vaterhäuser] unter|under den|the Leviten|Levite in|in ihren|their Geschlechtern|generations Diese|these wohnten|dwell zu|to Jerusalem|Jerusalem
9:35	Zu|to Gibeon|Gibeon wohnten|dwell Jeiel|Jeiel der|the Vater|father Gibeons|Gibeon sein|his Weib|wife hieß|name Maacha|Maachah
9:36	und|and sein|his erster|firstborn Sohn|old Abdon|Abdon Zur|Zur Kis|Kish Baal|Baal Ner|[Ner] Nadab|Nadab
9:37	Gedor|[Gedor] Ahjo|[Ahjo] Sacharja|Zachariah Mikloth|[Mikloth]
9:38	Mikloth|[Mikloth] aber|but zeugte|beget Simeam|[Simeam] Und|and sie|walk wohnten|dwell auch|also ihren|their Brüdern|brothers gegenüber|tell zu|to Jerusalem|Jerusalem unter|hide den|the Ihren|their
9:39	Ner|[Ner] aber|but zeugte|beget Kis|Kish Kis|Kish zeugte|beget Saul|Saul Saul|Saul zeugte|beget Jonathan|Jonathan Malchisua|[Malchisua] Abinadab|[Abinadab] Esbaal|[Esbaal]
9:40	Der|the Sohn|old aber|but Jonathans|Jonathan war|was Merib-|[Merib-] Baal|[Baal] Merib-|[Merib-] Baal|[Baal] aber|but zeugte|beget Micha|Micah
9:41	Die|the Kinder|old Michas|Micah waren|were Pithon|[Pithon] Melech|Melech und|and Tharea|[Tharea]
9:42	Ahas|[Ahas] zeugte|beget Jaera|[Jaera] Jaera|[Jaera] zeugte|beget Alemeth|[Alemeth] Asmaveth|Azmaveth und|and Simmri|Zimri Simmri|Zimri zeugte|beget Moza|[Moza]
9:43	Moza|[Moza] zeugte|beget Binea|[Binea] des|of-the Sohn|old war|was Raphaja|Rephaiah des|of-the Sohn|old war|was Eleasa|[Eleasa] des|of-the Sohn|old war|was Azel|[Azel]
9:44	Azel|[Azel] aber|but hatte|had sechs|six Söhne|old die|the hießen|name Asrikam|Azrikam Bochru|[Bochru] Ismael|Ishmael Searja|[Searja] Obadja|Obadiah Hanan|Hanan Das|the sind|are die|the Kinder|old Azels|[Azels]
10:1	Die|the Philister|Philistine stritten|fight wider|against Israel|Israelites Und|and die|the von|from Israel|Israelites flohen|flee vor|stringed instrument den|the Philistern|Philistine und|and fielen|fall erschlagen|slay auf|on dem|the Gebirge|mountain Gilboa|[Gilboa]
10:2	Aber|but die|the Philister|Philistine hingen|[hingen] sich|himself an|cleave Saul|Saul und|and seine|his Söhne|old hinter|behind ihnen|them her|here und|and erschlugen|smite Jonathan|Jonathan Abinadab|[Abinadab] und|and Malchisua|[Malchisua] die|the Söhne|old Sauls|Saul
10:3	Und|and des|of-the Streit|war ward|was hart|honour wider|above Saul|Saul und|and die|the Bogenschützen|bow kamen|came an|find ihn|him daß|that er|he von|stringed instrument den|the Schützen|teach verwundet|[verwundet] ward|pain
10:4	Da|then sprach|said Saul|Saul zu|to seinem|his Waffenträger|bear Zieh|draw dein|your Schwert|sword aus|from und|and erstich|pierced mich|me damit|thus daß|that diese|these Unbeschnittenen|uncircumcised nicht|turn kommen|come und|and schändlich|[schändlich] mit|with mir|me umgehen|glean Aber|but sein|his Waffenträger|bear wollte|to nicht|not denn|and er|he fürchtete|fear sich|himself sehr|very Da|then nahm|take Saul|Saul sein|his Schwert|sword und|and fiel|fall hinein|above
10:5	Da|then aber|but sein|his Waffenträger|bear sah|see daß|and er|Saul tot|dead war|die fiel|fall er|he auch|also ins|above Schwert|sword und|and starb|die
10:6	Also|so starb|die Saul|Saul und|and seine|his drei|three Söhne|old und|and sein|his ganzes|all (manner Haus|household zugleich|together
10:7	Da|then aber|but die|the Männer|men Israels|Israelites die|the im|in-the Grunde|valley wohnten|settled sahen|see daß|and sie|they geflohen|fleeing waren|flee und|and daß|and Saul|Saul und|and seine|his Söhne|old tot|dead waren|die verließen|forsake sie|they ihre|their Städte|town und|and flohen|flee und|and die|the Philister|Philistine kamen|came und|and wohnten|dwell darin|in-it
10:8	Des|stringed instrument andern|another Morgens|morrow kamen|came die|the Philister|Philistine die|the Erschlagenen|slay auszuziehen|strip und|and fanden|find Saul|Saul und|and seine|his Söhne|old liegen|fall auf|on dem|the Gebirge|mountain Gilboa|[Gilboa]
10:9	und|and zogen|went ihn|him aus|strip und|and hoben|lifted auf|bear sein|his Haupt|head und|and seine|his Waffen|vessel und|and sandten|[sandten] s|send ins|into-the Land|land der|the Philister|Philistine umher|circuits und|and ließen|sent s|[s] verkündigen|tidings vor|before ihren|their Götzen|idol und|and dem|the Volk|nation
10:10	und|and legten|put seine|his Waffen|vessel ins|into-the Haus|household ihres|her Gottes|of-God und|and seinen|his Schädel|poll hefteten|[hefteten] sie|blow ans|the Haus|household Dagons|Dagon
10:11	Da|then aber|but alle|all (manner die|the zu|to Jabes|Jabesh in|in Gilead|Gilead hörten|hear alles|all (manner was|what die|the Philister|Philistine Saul|Saul getan|done hatten|make
10:12	machten|made sie|they sich|himself auf|arise alle|all (manner streitbaren|army Männer|men und|and nahmen|bear die|the Leichname|[Leichname] Sauls|Saul und|and seiner|his Söhne|old und|and brachten|brought sie|they gen|to Jabes|Jabesh und|and begruben|bury ihre|their Gebeine|bone unter|Toah der|the Eiche|oak zu|to Jabes|Jabesh und|and fasteten|fast sieben|seven Tage|time
10:13	Also|so starb|die Saul|Saul an|to seiner|his Missetat|trespass die|the er|he wider|against den|the HERRN|GOD getan|done hatte|trespass an|above dem|the Wort|word des|of-the HERRN|GOD das|the er|he nicht|not hielt|keep auch|also daß|that er|he die|the Wahrsagerin|[Wahrsagerin] fragte|ask
10:14	und|and fragte|seek den|the HERRN|GOD nicht|not darum|therefore tötete|die er|he ihn|him und|and wandte|compass das|the Reich|kingdom zu|to David|David dem|the Sohn|old Isais|Jesse
11:1	Und|and ganz|all (manner Israel|Israelites versammelte|[versammelte] sich|gather zu|to David|David gen|to Hebron|Hebron und|and sprach|said Siehe|behold wir|we sind|are dein|your Bein|bone und|and dein|your Fleisch|flesh
11:2	Auch|also schon|also da|yesterday Saul|Saul König|royal war|be thou führtest|bring du|you Israel|Israelites aus|bring und|and ein|a So|then hat|has der|the HERR|GOD dein|your Gott|God dir|you geredet|spoken Du|you sollst|shall mein|my Volk|nation Israel|Israelites weiden|feed und|and du|you sollst|shall Fürst|ruler sein|be thou über|above mein|my Volk|also Israel|Israelites
11:3	Also|so kamen|came alle|all (manner Ältesten|elders Israels|Israelites zum|as-a König|royal gen|to Hebron|Hebron Und|and David|David machte|make einen|a Bund|covenant mit|with ihnen|them zu|to Hebron|Hebron vor|face dem|the HERRN|GOD Und|and sie|they salbten|anoint David|David zu|to König|royal über|above Israel|Israelites nach|after dem|the Wort|word des|of-the HERRN|GOD durch|by Samuel|Samuel
11:4	Und|and David|David zog|went hin|go und|and das|the ganze|all (manner Israel|Israelites gen|to Jerusalem|Jerusalem das|he ist|is Jebus|Jebus denn|for die|the Jebusiter|Jebusite wohnten|dwell daselbst|in it im|in-the Lande|land
11:5	Und|and die|the Bürger|dwell zu|to Jebus|Jebus sprachen|said zu|to David|David Du|you sollst|shall nicht|not hereinkommen|here David|David aber|but gewann|take die|the Burg|fortress Zion|Zion das|he ist|is Davids|David Stadt|town
11:6	Und|and David|David sprach|said Wer|who die|the Jebusiter|Jebusite am|on-the ersten|first schlägt|smite der|the soll|shall ein|a Haupt|head und|and Oberster|prince sein|be thou Da|then erstieg|offer sie|they am|on-the ersten|first Joab|Joab der|the Zeruja|[Zeruja] Sohn|old und|and ward|be thou Hauptmann|head
11:7	David|David aber|but wohnte|dwell auf|on der|the Burg|hold daher|above heißt|is-called man|call sie|they Davids|David Stadt|town
11:8	Und|and er|he baute|build die|the Stadt|town umher|stringed instrument von|stringed instrument Millo|Millo an|to bis|until ganz|all umher|circuits Joab|Joab aber|but ließ|had leben|live die|the übrigen|remnant in|in der|the Stadt|town
11:9	Und|and David|David nahm|go immer|continually mehr|more zu|go und|and der|the HERR|GOD Zebaoth|host war|was mit|hide ihm|him
11:10	Dies|this sind|are die|the Obersten|head unter|under den|the Helden|mighty Davids|David die|the sich|himself redlich|strong mit|hide ihm|him hielten|strong in|in seinem|his Königreiche|kingdom bei|hide ganz|all (manner Israel|Israelites daß|that man|one ihn|him zum|as-a König|King machte|reign nach|after dem|the Wort|word des|of-the HERRN|GOD über|above Israel|Israelites
11:11	Und|and dies|this ist|is die|the Zahl|number der|the Helden|mighty Davids|[Davids] Jasobeam|[Jasobeam] der|the Sohn|son Hachmonis|[Hachmonis] der|the Vornehmste|head unter|under den|the dreißig|captain er|he hob|awake seinen|his Spieß|spear auf|awake und|and schlug|slay dreihundert|three auf|on einmal|once
11:12	Nach|after ihm|him aber|but Eleasar|[Eleasar] der|the Sohn|old Dodos|Dodo der|the Ahohiter|[Ahohiter] und|and er|he war|was unter|under den|the drei|three Helden|mighty
11:13	Dieser|he war|be thou mit|hide David|David zu|to Pas-|[Pas-] Dammim|[Dammim] da|then die|the Philister|Philistine sich|himself daselbst|in it versammelt|gathered hatten|had zu|to Streit|war Und|and es|it war|be thou da|then ein|a Stück|portion Acker|field voll|full Gerste|barley Und|and das|the Volk|nation floh|flee vor|stringed instrument den|the Philistern|Philistine
11:14	Und|and sie|they traten|stand mitten|midst aufs|to-the Stück|portion und|and erretteten|deliver es|it und|and schlugen|smite die|the Philister|Philistine und|and der|the HERR|GOD gab|save großes|great Heil|salvation
11:15	Und|and drei|three aus|stringed instrument dem|the dreißig|thirty Vornehmsten|head zogen|went hinab|descend zum|above Felsen|rock zu|to David|David in|in die|the Höhle|cave Adullam|Adullam aber|but der|the Philister|Philistine Lager|camp lag|pitch im|in-the Grunde|valley Rephaim|giant
