1:1	Paulus|Paul ein|a Knecht|servant Jesu|Jesus Christi|Christ berufen|called zum|as-a Apostel|[Apostel] ausgesondert|[ausgesondert] zu|into predigen|call das|the Evangelium|gospel Gottes|god
5:2	durch|by welchen|which wir|we auch|also den|the Zugang|access haben|have im|in-the Glauben|faith zu|into dieser|this Gnade|grace darin|by wir|we stehen|stand und|also rühmen|glory uns|us der|on Hoffnung|hope der|the zukünftigen|[zukünftigen] Herrlichkeit|glory die|the Gott|god geben|give soll|shall
5:3	Nicht|no allein|only aber|and das|the sondern|but wir|we rühmen|glory uns|us auch|also der|by Trübsale|tribulation dieweil|since wir|we wissen|know daß|that Trübsal|tribulation Geduld|patience bringt|work
5:4	Geduld|patience aber|and bringt|bring Erfahrung|proof Erfahrung|proof aber|and bringt|bring Hoffnung|hope
5:5	Hoffnung|hope aber|and läßt|ashamed nicht|no zu|to Schanden|ashamed werden|ashamed Denn|that die|the Liebe|my Gottes|god ist|is ausgegossen|shed in|by unser|our Herz|heart durch|by den|the heiligen|[heiligen] Geist|Spirit welcher|which uns|us gegeben|given ist|give
5:6	Denn|and auch|also Christus|Christ da|then wir|our noch|yet schwach|[schwach] waren|being nach|after der|the Zeit|time ist|is für|for uns|us Gottlose|wicked gestorben|died
5:7	Nun|and stirbt|die kaum|scarce jemand|certain um|for eines|one Gerechten|righteous willen|for um|for des|of-the Guten|good willen|for dürfte|durst vielleicht|peradventure jemand|certain sterben|die
5:8	Darum|and preiset|commend Gott|god seine|himself Liebe|my gegen|into uns|us daß|that Christus|Christ für|for uns|our gestorben|died ist|is da|then wir|our noch|yet Sünder|[Sünder] waren|being
5:9	So|then werden|save wir|we ja|therefore viel|many mehr|more durch|by ihn|him bewahrt|[bewahrt] werden|save vor|before dem|the Zorn|wrath nachdem|when wir|we durch|by sein|his Blut|blood gerecht|justify geworden|become sind|justify
5:10	Denn|and so|if wir|we Gott|god versöhnt|[versöhnt] sind|reconcile durch|by den|the Tod|death seines|his Sohnes|son da|then wir|we noch|still Feinde|enemy waren|being viel|many mehr|more werden|be wir|we selig|happy werden|save durch|by sein|his Leben|life so|then wir|we nun|now versöhnt|[versöhnt] sind|reconcile
5:11	Nicht|no allein|only aber|and das|the sondern|but wir|we rühmen|glory uns|us auch|also Gottes|god durch|by unsern|our HERRN|Lord Jesus|Jesus Christus|Christ durch|by welchen|which wir|we nun|now die|the Versöhnung|reconciliation empfangen|receive haben|receive
5:12	Derhalben|by wie|as durch|by einen|one Menschen|man die|the Sünde|sin ist|is gekommen|enter in|into die|the Welt|world und|also der|the Tod|death durch|by die|the Sünde|sin und|also ist|pass also|so der|the Tod|death zu|into allen|all Menschen|man durchgedrungen|pass dieweil|on sie|they alle|all gesündigt|sinned haben|have
5:13	denn|and die|the Sünde|sin war|was wohl|well in|by der|the Welt|world bis|until auf|on das|the Gesetz|law aber|and wo|where kein|not Gesetz|law ist|being da|then achtet|impute man|one der|the Sünde|sin nicht|no
5:14	Doch|please herrschte|[herrschte] der|the Tod|death von|from Adam|the-man an|to bis|until auf|unto Moses|Moses auch|also über|on die|the die|the nicht|not gesündigt|sinned haben|have mit|on gleicher|likeness Übertretung|transgression wie|as Adam|the-man welcher|which ist|is ein|a Bild|ensample des|of-the der|the zukünftig|[zukünftig] war|shall
5:15	Aber|but nicht|no verhält|[verhält] sich|himself s|as mit|with der|the Gabe|trespass wie|so mit|with der|the Sünde|gift Denn|and so|if an|to eines|one Sünde|trespass viele|many gestorben|died sind|are so|then ist|abound viel|many mehr|more Gottes|god Gnade|grace und|also Gabe|gift vielen|many reichlich|greatly widerfahren|abound durch|by die|the Gnade|grace des|of-the einen|one Menschen|man Jesus|Jesus Christus|Christ
5:16	Und|also nicht|no ist|is die|the Gabe|gift allein|only über|over eine|a Sünde|sin wie|as durch|by des|of-the einen|one Sünders|[Sünders] eine|a Sünde|sin alles|all Verderben|destroy Denn|and das|the Urteil|judgment ist|is gekommen|come aus|of einer|one Sünde|sin zur|into Verdammnis|condemnation die|the Gabe|gift aber|and hilft|[hilft] auch|also aus|of vielen|many Sünden|trespass zur|into Gerechtigkeit|righteousness
5:17	Denn|and so|if um|for des|of-the einen|one Sünde|trespass willen|sake der|the Tod|death geherrscht|[geherrscht] hat|has durch|by den|the einen|one viel|many mehr|more werden|be die|the so|then da|then empfangen|receive die|the Fülle|abundance der|the Gnade|grace und|also der|the Gabe|gift zur|to-the Gerechtigkeit|righteousness herrschen|rule im|by Leben|life durch|by einen|one Jesum|Jesus Christum|Christ
5:18	Wie|as nun|now durch|by eines|one Sünde|trespass die|into Verdammnis|condemnation über|into alle|all Menschen|man gekommen|come ist|is so|so ist|is auch|also durch|by eines|one Gerechtigkeit|righteousness die|into Rechtfertigung|justification des|of-the Lebens|life über|into alle|all Menschen|man gekommen|come
5:19	Denn|and gleichwie|as durch|by eines|one Menschen|man Ungehorsam|disobedient viele|many Sünder|[Sünder] geworden|become sind|make also|so auch|also durch|by eines|one Gehorsam|obedience werden|make viele|many Gerechte|righteous
5:20	Das|the Gesetz|law aber|and ist|is neben|beside eingekommen|enter auf|on daß|that die|the Sünde|trespass mächtiger|[mächtiger] würde|abound Wo|where aber|and die|the Sünde|sin mächtig|powerful geworden|become ist|abound da|then ist|is doch|please die|the Gnade|grace viel|many mächtiger|[mächtiger] geworden|become
5:21	auf|on daß|that gleichwie|as die|the Sünde|sin geherrscht|[geherrscht] hat|has zum|by Tode|death also|so auch|also herrsche|must-rule die|the Gnade|grace durch|by die|the Gerechtigkeit|righteousness zum|into ewigen|everlasting Leben|life durch|by Jesum|Jesus Christum|Christ unsern|our HERRN|Lord
6:1	Was|what wollen|say wir|we hierzu|therefore sagen|say Sollen|tarry wir|we denn|for in|in der|the Sünde|sin beharren|tarry auf|on daß|that die|the Gnade|grace desto|[desto] mächtiger|[mächtiger] werde|abound
6:2	Das|the sei|be ferne|not Wie|how sollten|should wir|we in|by der|the Sünde|sin wollen|will leben|live der|which wir|we abgestorben|[abgestorben] sind|are
6:3	Wisset|or ihr|you nicht|not daß|that alle|whatsoever die|the wir|we in|into Jesus|Jesus Christus|Christ getauft|[getauft] sind|are die|the sind|are in|into seinen|his Tod|death getauft|[getauft]
6:4	So|therefore sind|burywith wir|we ja|therefore mit|burywith ihm|him begraben|burywith durch|by die|the Taufe|[Taufe] in|into den|the Tod|death auf|on daß|that gleichwie|as Christus|Christ ist|is auferweckt|rise von|of den|the Toten|dead durch|by die|the Herrlichkeit|glory des|of-the Vaters|Father also|so sollen|walk auch|also wir|we in|by einem|a neuen|newness Leben|life wandeln|walk
6:5	So|if wir|we aber|and samt|planted together ihm|him gepflanzt|[gepflanzt] werden|be zu|to gleichem|likeness Tode|death so|then werden|be wir|we auch|also seiner|his Auferstehung|[Auferstehung] gleich|like sein|be
6:6	dieweil|this wir|we wissen|know daß|that unser|our alter|old Mensch|man samt|along-with ihm|him gekreuzigt|[gekreuzigt] ist|crucify with auf|on daß|that der|the sündliche|[sündliche] Leib|body aufhöre|destroy daß|that wir|us hinfort|no der|the Sünde|sin nicht|no mehr|more dienen|serve
6:7	Denn|and wer|who gestorben|died ist|is der|the ist|is gerechtfertigt|justify von|from der|the Sünde|sin
6:8	Sind|are wir|we aber|and mit|with Christo|Christ gestorben|died so|then glauben|believe wir|we daß|that wir|we auch|also mit|with ihm|him leben|life werden|live with
6:9	und|and wissen|know daß|that Christus|Christ von|of den|the Toten|dead auferweckt|rise hinfort|never nicht|yet stirbt|die der|the Tod|death wird|lords hinfort|never nicht|not mehr|yet über|over ihn|him herrschen|lords
6:10	Denn|and was|what er|he gestorben|died ist|is das|the ist|is er|he der|the Sünde|sin gestorben|died zu|to einem|a Mal|once was|which er|he aber|and lebt|live das|the lebt|live er|he Gott|god
6:11	Also|so auch|also ihr|ye haltet|think euch|himself dafür|think daß|that ihr|you der|the Sünde|sin gestorben|dead seid|be und|and lebt|live Gott|god in|by Christo|Christ Jesus|Jesus unserm|our HERRN|Lord
6:12	So|then lasset|leave nun|therefore die|the Sünde|sin nicht|not herrschen|rule in|by eurem|your sterblichen|mortal Leibe|body ihr|you Gehorsam|obedient zu|to leisten|obey in|by seinen|his Lüsten|lust
6:13	Auch|also begebet|present nicht|neither der|the Sünde|sin eure|your Glieder|member zu|to Waffen|weapon der|the Ungerechtigkeit|[Ungerechtigkeit] sondern|but begebet|present euch|you selbst|himself Gott|god als|as die|the da|then aus|of den|the Toten|dead lebendig|alive sind|live und|also eure|your Glieder|member Gott|god zu|to Waffen|weapon der|the Gerechtigkeit|righteousness
6:14	Denn|and die|the Sünde|sin wird|lords nicht|no herrschen|rule können|can über|lords euch|your sintemal|and ihr|you nicht|no unter|of dem|the Gesetz|law seid|are sondern|but unter|of der|the Gnade|grace
6:15	Wie|what nun|therefore Sollen|shall wir|we sündigen|sin dieweil|that wir|we nicht|no unter|of dem|the Gesetz|law sondern|but unter|of der|the Gnade|grace sind|are Das|the sei|be ferne|not
6:16	Wisset|know ihr|know nicht|no welchem|which ihr|you euch|himself begebet|present zu|to Knechten|servant in|into Gehorsam|obedience des|of-the Knechte|servant seid|are ihr|you dem|which ihr|you gehorsam|obedient seid|obey es|it sei|whether der|the Sünde|sin zum|into Tode|death oder|or dem|the Gehorsam|obedience zur|into Gerechtigkeit|righteousness
6:17	Gott|god sei|grace aber|and gedankt|grace daß|that ihr|you Knechte|servant der|the Sünde|sin gewesen|been seid|was aber|and nun|now gehorsam|obedient geworden|obey von|of Herzen|heart dem|the Vorbilde|ensample der|the Lehre|doctrine welchem|into ihr|you ergeben|[ergeben] seid|deliver
6:18	Denn|and nun|now ihr|you frei|[frei] geworden|become seid|deliver von|from der|the Sünde|sin seid|are ihr|you Knechte|given der|the Gerechtigkeit|righteousness geworden|given
6:19	Ich|I muß|speak menschlich|[menschlich] davon|from-which reden|speak um|by der|the Schwachheit|[Schwachheit] willen|by eures|your Fleisches|flesh Gleichwie|and ihr|you eure|your Glieder|member begeben|[begeben] habet|present zum|as-a Dienst|service der|the Unreinigkeit|[Unreinigkeit] und|also von|from einer|one Ungerechtigkeit|[Ungerechtigkeit] zur|into andern|another also|so begebet|present auch|also nun|now eure|your Glieder|member zum|as-a Dienst|service der|the Gerechtigkeit|righteousness daß|into sie|they heilig|awesome werden|be
6:20	Denn|and da|when ihr|you der|the Sünde|sin Knechte|servant wart|was da|then wart|was ihr|you frei|free von|from der|the Gerechtigkeit|righteousness
6:21	Was|what hattet|[hattet] ihr|have nun|then zu|on der|the Zeit|time für|for Frucht|fruit Welcher|which ihr|you euch|you jetzt|now schämet|be ashamed denn|and ihr|that Ende|end ist|is der|the Tod|death
6:22	Nun|now ihr|you aber|and seid|deliver von|from der|the Sünde|sin frei|deliver und|and Gottes|god Knechte|servants geworden|given habt|have ihr|you eure|your Frucht|fruit daß|into ihr|you heilig|awesome werdet|will das|the Ende|end aber|and ist|is das|the ewige|[ewige] Leben|life
6:23	Denn|and der|the Tod|death ist|is der|the Sünde|sin Sold|wage aber|and die|the Gabe|gift Gottes|god ist|is das|the ewige|[ewige] Leben|life in|by Christo|Christ Jesu|Jesus unserm|our HERRN|Lord
7:1	Wisset|or ihr|you nicht|not liebe|my Brüder|brothers denn|and ich|I rede|speak mit|with solchen|such die|the das|the Gesetz|law wissen|know daß|that das|the Gesetz|law herrscht|rule über|lords den|the Menschen|man solange|on er|he lebt|live
7:2	Denn|and ein|a Weib|women das|the unter|under dem|the Manne|man ist|which hath an husband ist|is an|to ihn|him gebunden|bind durch|through das|the Gesetz|law solange|live der|the Mann|man lebt|live so|if aber|and der|the Mann|man stirbt|die so|then ist|is sie|they los|destroy vom|from-the Gesetz|law das|the den|the Mann|man betrifft|[betrifft]
7:3	Wo|if sie|they nun|now eines|one andern|another Mannes|man's wird|be solange|while der|the Mann|man lebt|live wird|call sie|they eine|a Ehebrecherin|adulterous geheißen|call so|if aber|and der|the Mann|man stirbt|die ist|is sie|they frei|free vom|from-the Gesetz|law daß|that sie|they nicht|not eine|a Ehebrecherin|adulterous ist|be wo|where sie|they eines|one andern|another Mannes|man's wird|be
7:4	Also|wherefore seid|kill auch|also ihr|ye meine|my Brüder|brothers getötet|kill dem|the Gesetz|law durch|by den|the Leib|body Christi|Christ daß|into ihr|you eines|one andern|another seid|be nämlich|namely des|of-the der|the von|of den|the Toten|dead auferweckt|[auferweckt] ist|rise auf|on daß|that wir|we Gott|god Frucht|fruit bringen|be (bear
7:5	Denn|and da|when wir|we im|by Fleisch|flesh waren|was da|then waren|were die|the sündigen|sin Lüste|suffering welche|which durchs|by Gesetz|law sich|himself erregten|work kräftig|[kräftig] in|by unsern|our Gliedern|member dem|the Tode|death Frucht|be (bear zu|to bringen|into
7:6	Nun|now aber|and sind|destroy wir|we vom|from-the Gesetz|law los|destroy und|and ihm|him abgestorben|[abgestorben] das|by uns|us gefangenhielt|hold also|so daß|wherefore wir|us dienen|serve sollen|serve im|by neuen|[neuen] Wesen|newness des|of-the Geistes|Spirit und|also nicht|no im|in-the alten|old-man Wesen|oldness des|of-the Buchstabens|letter
7:7	Was|what wollen|say wir|we denn|therefore nun|now sagen|say Ist|is das|the Gesetz|law Sünde|sin Das|the sei|be ferne|not Aber|but die|the Sünde|sin erkannte|know ich|I nicht|no außer|but durchs|by Gesetz|law Denn|and ich|I wußte|know nichts|no von|from der|the Lust|lust wo|but das|the Gesetz|law nicht|but hätte|had gesagt|speak “|[“] Laß|desire dich|you nicht|no gelüsten|desire ”|[”]
7:8	Da|then nahm|receive aber|and die|the Sünde|sin Ursache|[Ursache] am|by Gebot|commandment und|and erregte|work in|by mir|me allerlei|all Lust|lust denn|and ohne|without das|the Gesetz|law war|was die|the Sünde|sin tot|dead
7:9	Ich|I aber|and lebte|live weiland|sometimes ohne|without Gesetz|law da|then aber|and das|the Gebot|commandment kam|come ward|was die|the Sünde|sin wieder|back lebendig|alive
7:10	ich|I aber|and starb|died und|also es|me fand|found sich|find daß|which das|the Gebot|commandment mir|me zum|into Tode|death gereichte|[gereichte] das|the mir|me doch|please zum|into Leben|life gegeben|given war|was
7:11	Denn|and die|the Sünde|sin nahm|receive Ursache|[Ursache] am|by Gebot|commandment und|and betrog|deceive mich|me und|also tötete|put-to-death mich|me durch|by dasselbe|the Gebot|commanded
7:12	Das|the Gesetz|law ist|is ja|wherefore heilig|awesome und|also das|the Gebot|commandment ist|is heilig|awesome recht|righteous und|also gut|good
7:13	Ist|is denn|therefore das|the da|then gut|good ist|is mir|me zum|as-a Tod|death geworden|be Das|the sei|be ferne|not Aber|but die|the Sünde|sin auf|on daß|that sie|they erscheine|appear wie|as sie|they Sünde|sin ist|is hat|work sie|they mir|me durch|by das|the Gute|good den|the Tod|death gewirkt|work auf|on daß|that die|the Sünde|sin würde|be überaus|after sündig|[sündig] durchs|by Gebot|commandment
7:14	Denn|and wir|we wissen|know daß|that das|the Gesetz|law geistlich|spiritual ist|is ich|I bin|am aber|and fleischlich|carnal unter|of die|the Sünde|sin verkauft|sell
7:15	Denn|and ich|I weiß|know nicht|no was|which ich|I tue|work Denn|and ich|I tue|do nicht|no was|which ich|I will|desire sondern|but was|which ich|I hasse|hate das|this tue|do ich|do
7:16	So|if ich|I aber|and das|this tue|do was|which ich|I nicht|no will|desire so|then gebe|consent unto ich|I zu|consent unto daß|that das|the Gesetz|law gut|good sei|be
7:17	So|and tue|work ich|I nun|now dasselbe|the nicht|yet sondern|but die|the Sünde|sin die|the in|by mir|me wohnt|dwell
7:18	Denn|and ich|I weiß|know daß|that in|by mir|me das|the ist|that is in|by meinem|my Fleische|flesh wohnt|dwell nichts|no Gutes|good Wollen|desire habe|be present ich|me wohl|be present aber|and vollbringen|work das|the Gute|good finde|find ich|I nicht|no
7:19	Denn|and das|the Gute|good das|the ich|I will|desire das|the tue|do ich|I nicht|no sondern|but das|the Böse|evil das|which ich|I nicht|no will|desire das|this tue|do ich|I
7:20	So|if ich|I aber|and tue|do was|this ich|I nicht|no will|desire so|then tue|work ich|I dasselbe|the nicht|yet sondern|but die|the Sünde|sin die|the in|by mir|me wohnt|dwell
7:21	So|then finde|find ich|I mir|me nun|now ein|a Gesetz|law der|that ich|me will|desire das|the Gute|good tun|do daß|that mir|me das|the Böse|evil anhangt|be present
7:22	Denn|and ich|I habe|have Lust|delight an|to Gottes|god Gesetz|law nach|after dem|the inwendigen|within Menschen|man
7:23	Ich|I sehe|see aber|and ein|a ander|another Gesetz|law in|by meinen|my Gliedern|member das|the da|then widerstreitet|[widerstreitet] dem|the Gesetz|law in|in meinem|my Gemüte|mind und|also nimmt|takes mich|me gefangen|taken-captive in|in der|the Sünde|sin Gesetz|law welches|which ist|being in|by meinen|my Gliedern|member
7:24	Ich|I elender|wretched Mensch|man wer|what wird|deliver mich|me erlösen|deliver von|of dem|the Leibe|body dieses|this Todes|death
7:25	Ich|I danke|thank Gott|god durch|by Jesum|Jesus Christum|Christ unserm|our HERRN|Lord So|then diene|indeed ich|I nun|now mit|with dem|the Gemüte|mind dem|the Gesetz|law Gottes|god aber|and mit|with dem|the Fleische|flesh dem|the Gesetz|law der|the Sünde|sin
8:1	So|then ist|is nun|now nichts|nothing Verdammliches|condemnation an|to denen|them die|the in|by Christo|Christ Jesu|Jesus sind|are die|the nicht|not nach|after dem|the Fleisch|flesh wandeln|walk sondern|but nach|after dem|the Geist|Spirit
8:2	Denn|and das|the Gesetz|law des|of-the Geistes|Spirit der|the da|then lebendig|alive macht|life in|by Christo|Christ Jesu|Jesus hat|deliver mich|me frei|[frei] gemacht|deliver von|from dem|the Gesetz|law der|the Sünde|sin und|also des|of-the Todes|death
8:3	Denn|and was|what dem|the Gesetz|law unmöglich|too-hard war|was sintemal|by es|it durch|by das|the Fleisch|flesh geschwächt|[geschwächt] ward|was das|the tat|did Gott|god und|and sandte|send seinen|himself Sohn|son in|by der|the Gestalt|likeness des|of-the sündlichen|[sündlichen] Fleisches|flesh und|also der|the Sünde|sin halben|of und|and verdammte|condemn die|the Sünde|sin im|by Fleisch|flesh
8:4	auf|on daß|that die|the Gerechtigkeit|righteousness vom|from-the Gesetz|law erfordert|[erfordert] in|by uns|us erfüllt|fill würde|fulfil die|the wir|we nun|now nicht|not nach|after dem|the Fleische|flesh wandeln|walk sondern|but nach|after dem|the Geist|Spirit
8:5	Denn|and die|the da|then fleischlich|after sind|being die|the sind|think fleischlich|which gesinnt|think die|the aber|and geistlich|Spirit sind|after die|the sind|are geistlich|which gesinnt|[gesinnt]
8:6	Aber|and fleischlich|flesh gesinnt|[gesinnt] sein|mind ist|is der|the Tod|death und|and geistlich|Spirit gesinnt|[gesinnt] sein|mind ist|is Leben|life und|also Friede|peace
8:7	Denn|because fleischlich|flesh gesinnt|[gesinnt] sein|mind ist|is wie|as eine|a Feindschaft|enmity wider|into Gott|god sintemal|and das|the Fleisch|flesh dem|the Gesetz|law Gottes|god nicht|no untertan|subject ist|be under obedience denn|for es|it vermag|[vermag] s|able auch|and nicht|neither
8:8	Die|the aber|and fleischlich|by sind|being können|no Gott|god nicht|no gefallen|subsided
8:9	Ihr|ye aber|and seid|are nicht|no fleischlich|by sondern|but geistlich|by so|though anders|but Gottes|god Geist|Spirit in|by euch|you wohnt|dwell Wer|whosoever aber|and Christi|Christ Geist|Spirit nicht|no hat|have der|this ist|is nicht|no sein|his
8:10	So|if nun|now aber|and Christus|Christ in|by euch|you ist|is so|then ist|is der|the Leib|body zwar|[zwar] tot|dead um|by der|the Sünde|sin willen|by der|the Geist|Spirit aber|and ist|is Leben|life um|by der|the Gerechtigkeit|righteousness willen|by
8:11	So|if nun|and der|the Geist|Spirit des|of-the der|the Jesum|Jesus von|of den|the Toten|dead auferweckt|[auferweckt] hat|rise in|by euch|you wohnt|dwell so|then wird|quicken auch|also derselbe|he der|the Christum|Christ von|of den|the Toten|dead auferweckt|[auferweckt] hat|rise eure|your sterblichen|mortal Leiber|body lebendig|alive machen|quicken um|for deswillen|by daß|that sein|his Geist|Spirit in|by euch|you wohnt|dwell in
8:12	So|then sind|are wir|we nun|now liebe|my Brüder|brothers Schuldner|debtor nicht|no dem|the Fleisch|flesh daß|that wir|we nach|after dem|the Fleisch|flesh leben|live
8:13	Denn|and wo|if ihr|you nach|after dem|the Fleisch|flesh lebet|live so|then werdet|shall ihr|you sterben|die müssen|must wo|if ihr|you aber|and durch|through den|the Geist|Spirit des|of-the Fleisches|body Geschäfte|deed tötet|kill so|then werdet|will ihr|you leben|live
8:14	Denn|and welche|whatsoever der|the Geist|Spirit Gottes|god treibt|[treibt] die|this sind|are Gottes|god Kinder|son
8:15	Denn|and ihr|you habt|receive nicht|no einen|a knechtischen|bondage Geist|Spirit empfangen|receive daß|into ihr|you euch|you abermals|again fürchten|[fürchten] müßtet|fear sondern|but ihr|you habt|receive einen|a kindlichen|adoption Geist|Spirit empfangen|receive durch|by welchen|which wir|we rufen|cry Abba|[Abba] lieber|more Vater|Father
8:16	Derselbe|he Geist|Spirit gibt|gives Zeugnis|testify unto unserem|our Geist|Spirit daß|that wir|we Kinder|child Gottes|god sind|are
8:17	Sind|are wir|we denn|also Kinder|child so|if sind|are wir|we auch|and Erben|heir nämlich|namely Gottes|indeed Erben|heir und|and Miterben|fellow -heir Christi|Christ so|though wir|we anders|but mit|with leiden|suffer with auf|on daß|that wir|we auch|also mit|with zur|to-the Herrlichkeit|glorify together erhoben|[erhoben] werden|also
8:18	Denn|and ich|I halte|think es|it dafür|think daß|that dieser|now Zeit|time Leiden|suffering der|unto Herrlichkeit|glory nicht|no wert|worth sei|be die|the an|into uns|us soll|shall offenbart|revealed-himself werden|be
8:19	Denn|and das|the ängstliche|[ängstliche] Harren|[Harren] der|the Kreatur|creature wartet|[wartet] auf|on die|the Offenbarung|[Offenbarung] der|the Kinder|son Gottes|god
8:20	Sintemal|and die|the Kreatur|creature unterworfen|[unterworfen] ist|be under obedience der|the Eitelkeit|vanity ohne|no ihren|their Willen|willingly sondern|but um|for deswillen|by der|the sie|they unterworfen|[unterworfen] hat|be under obedience auf|on Hoffnung|hope
8:21	Denn|that auch|also die|the Kreatur|creature wird|will frei|[frei] werden|deliver vom|from-the Dienst|bondage des|of-the vergänglichen|[vergänglichen] Wesens|corruption zu|into der|the herrlichen|glory Freiheit|liberty der|the Kinder|child Gottes|god
8:22	Denn|and wir|we wissen|know daß|that alle|all Kreatur|creature sehnt|longs sich|groan together mit|with uns|us und|also ängstet|travail in pain together sich|himself noch|now immerdar|continually
8:23	Nicht|no allein|only aber|and sie|they sondern|but auch|also wir|we selbst|itself die|the wir|we haben|have des|of-the Geistes|Spirit Erstlinge|[Erstlinge] sehnen|groan uns|us auch|also bei|by uns|us selbst|himself nach|after der|the Kindschaft|adoption und|and warten|[warten] auf|on unsers|our Leibes|body Erlösung|[Erlösung]
8:24	Denn|and wir|we sind|are wohl|well selig|save doch|please in|in der|the Hoffnung|hope Die|the Hoffnung|hope aber|and die|the man|one sieht|sees ist|is nicht|no Hoffnung|hope denn|and wie|what kann|trust man|one des|also hoffen|trust das|which man|certain sieht|sees
8:25	So|if wir|we aber|and des|of-the hoffen|trust das|which wir|we nicht|no sehen|see so|then warten|[warten] wir|we sein|his durch|by Geduld|patience
8:26	Desgleichen|likewise auch|also der|the Geist|Spirit hilft|help unsrer|our Schwachheit|[Schwachheit] auf|help Denn|and wir|we wissen|know nicht|no was|what wir|we beten|meditate sollen|pray wie|as sich|himself s|[s] gebührt|must sondern|but der|the Geist|Spirit selbst|itself vertritt|make intercession for uns|our aufs|to-the beste|make intercession for mit|with unaussprechlichem|[unaussprechlichem] Seufzen|groaning
8:27	Der|the aber|and die|the Herzen|heart erforscht|search der|the weiß|know was|what des|of-the Geistes|Spirit Sinn|mind sei|be denn|that er|he vertritt|deal die|the Heiligen|[Heiligen] nach|after dem|the das|the Gott|god gefällt|pleases
8:28	Wir|we wissen|know aber|and daß|that denen|them die|that Gott|god lieben|[lieben] alle|all Dinge|all zum|into Besten|best dienen|help  with denen|them die|the nach|after dem|the Vorsatz|purpose berufen|called sind|being
8:29	Denn|that welche|which er|he zuvor|former ersehen|seen hat|foreknow die|the hat|predestinate er|he auch|also verordnet|predestinate daß|that sie|they gleich|like sein|his sollten|conformed to dem|the Ebenbilde|image seines|his Sohnes|son auf|on daß|into derselbe|he der|the Erstgeborene|firstborn sei|be unter|by vielen|many Brüdern|brothers
8:30	Welche|which er|he aber|and verordnet|reserved hat|predestinate die|these hat|call er|he auch|also berufen|call welche|which er|he aber|also berufen|[berufen] hat|call die|these hat|justify er|he auch|also gerecht|righteous gemacht|justify welche|which er|he aber|and hat|has gerecht|righteous gemacht|justify die|these hat|glorify er|he auch|also herrlich|most-honored gemacht|glorify
8:31	Was|what wollen|say wir|we nun|therefore hierzu|unto sagen|say Ist|is Gott|god für|for uns|our wer|what mag|[mag] wider|after uns|our sein|his
8:32	welcher|which auch|also seines|his eigenen|privately Sohnes|son nicht|no hat|has verschont|spare sondern|but hat|deliver ihn|him für|for uns|our alle|all dahingegeben|deliver wie|how sollte|forgive er|he uns|us mit|with ihm|him nicht|not alles|all schenken|forgive
8:33	Wer|what will|accuse die|the Auserwählten|elect Gottes|god beschuldigen|after Gott|god ist|is hier|here der|the da|then gerecht|righteous macht|justify
8:34	Wer|what will|will verdammen|condemn Christus|Christ ist|is hier|here der|the gestorben|died ist|is ja|and vielmehr|more der|the auch|also auferweckt|[auferweckt] ist|rise welcher|which ist|is zur|by Rechten|right Gottes|god und|also vertritt|deal uns|our
8:35	Wer|what will|depart uns|us scheiden|depart von|from der|the Liebe|my Gottes|Christ Trübsal|tribulation oder|or Angst|distress oder|or Verfolgung|persecution oder|or Hunger|famine oder|or Blöße|nakedness oder|or Fährlichkeit|peril oder|or Schwert|sword
8:36	wie|as geschrieben|[geschrieben] steht|write “Um|[“Um] deinetwillen|thy werden|be wir|we getötet|kill den|the ganzen|all Tag|day wir|we sind|are geachtet|think wie|as Schlachtschafe|sheep ”|[”]
8:37	Aber|but in|by dem|these allem|all überwinden|[überwinden] wir|we weit|more than conquer um|for deswillen|by der|the uns|us geliebt|[geliebt] hat|has
8:38	Denn|and ich|I bin|am gewiß|persuade daß|that weder|neither Tod|death noch|neither Leben|life weder|neither Engel|angel noch|neither Fürstentümer|[Fürstentümer] noch|neither Gewalten|power weder|neither Gegenwärtiges|present noch|neither Zukünftiges|shall
8:39	weder|neither Hohes|height noch|neither Tiefes|[Tiefes] noch|neither keine|certain andere|another Kreatur|creature mag|able uns|us scheiden|depart von|from der|the Liebe|my Gottes|god die|the in|by Christo|Christ Jesu|Jesus ist|is unserm|our HERRN|Lord
9:1	Ich|I sage|speak die|the Wahrheit|faithfulness in|by Christus|Christ und|and lüge|lie nicht|no wie|as mir|me Zeugnis|witness gibt|testify unto mein|my Gewissen|conscience in|by dem|the Heiligen|[Heiligen] Geist|Spirit
9:2	daß|that ich|me große|great Traurigkeit|sorrow und|also Schmerzen|sorrow ohne|without Unterlaß|[Unterlaß] in|sorrow meinem|my Herzen|heart habe|is
9:3	Ich|I habe|have gewünscht|wish verbannt|[verbannt] zu|to sein|be von|from Christo|Christ für|for meine|my Brüder|brothers die|the meine|my Gefreundeten|kinsman sind|are nach|after dem|the Fleisch|flesh
9:4	die|which da|then sind|are von|from Israel|Israel welchen|which gehört|heard die|the Kindschaft|adoption und|also die|the Herrlichkeit|glory und|also der|the Bund|covenant und|also das|the Gesetz|giving of the law und|also der|the Gottesdienst|service und|also die|the Verheißungen|promise
9:5	welcher|which auch|also sind|are die|the Väter|Father und|also aus|of welchen|which Christus|Christ herkommt|comes-down nach|after dem|the Fleisch|flesh der|being da|then ist|is Gott|god über|on alles|all gelobt|blessed in|into Ewigkeit|[Ewigkeit] Amen|[Amen]
