1:1	Am|on-the Anfang|beginning schuf|create Gott|God Himmel|heaven und|and Erde|earth
12:15	Und|and die|the Fürsten|prince des|of-the Pharao|Pharaoh sahen|see sie|they und|and priesen|praise sie|they vor|before ihm|Pharaoh Da|then ward|take sie|they in|in des|of-the Pharao|Pharaoh Haus|household gebracht|take
12:16	Und|and er|he tat|well Abram|Abram Gutes|well um|for ihretwillen|her-sake Und|and er|he hatte|had Schafe|flock Rinder|ox Esel|ass Knechte|servant und|and Mägde|handmaid Eselinnen|female-donkeys und|and Kamele|camel
12:17	Aber|but der|the HERR|GOD plagte|touch den|the Pharao|Pharaoh mit|with großen|great Plagen|plague und|and sein|his Haus|household um|word Sarais|Sarai Abrams|Abram's Weibes|wife willen|word
12:18	Da|then rief|called Pharao|Pharaoh Abram|Abram zu|to sich|himself und|and sprach|said zu|to ihm|him Warum|why hast|have du|you mir|me das|this getan|done Warum|why sagtest|told du|you mir|me s|IT nicht|not daß|that sie|she dein|your Weib|wife wäre|was
12:19	Warum|why sprachst|said du|you denn|then sie|she wäre|was deine|your Schwester|sister Derhalben|so ich|I sie|her mir|me zum|as-a Weibe|wife nehmen|take wollte|would Und|and nun|now siehe|behold da|— hast|have du|you dein|your Weib|wife nimm|take sie|her und|and ziehe|go hin|away
12:20	Und|and Pharao|Pharaoh befahl|command seinen|his Leuten|nations über|over ihm|him daß|that sie|they ihn|him geleiteten|send und|and sein|his Weib|wife und|and alles|all was|what er|he hatte|had
13:1	Also|so zog|offer Abram|Abram herauf|offer aus|from Ägypten|Egypt mit|with seinem|his Weibe|wife und|and mit|with allem|all was|what er|he hatte|had und|and Lot|Lot auch|also mit|with ihm|him ins|into-the Mittagsland|south
13:2	Abram|Abram aber|but war|was sehr|very reich|honour an|to Vieh|cattle Silber|silver und|and Gold|gold
13:3	Und|and er|he zog|went immer|continually fort|journeying von|from Mittag|south bis|until gen|to Beth-El|Bethel an|to die|the Stätte|place da|where am|at-the ersten|beginning seine|his Hütte|tent war|was zwischen|between Beth-El|Bethel und|and Ai|Ai
13:4	eben|on-that an|to den|the Ort|place da|then er|he zuvor|first den|the Altar|altar gemacht|made hatte|make Und|and er|he predigte|call allda|there den|the Namen|name des|of-the HERRN|GOD
13:5	Lot|Lot aber|but der|the mit|with Abram|Abram zog|go der|the hatte|had auch|also Schafe|flock und|and Rinder|ox und|and Hütten|tents
13:6	Und|and das|the Land|land konnte|could es|it nicht|not ertragen|bear daß|that sie|they beieinander|together wohnten|dwell denn|for ihre|their Habe|goods war|was groß|many und|and konnten|could nicht|not beieinander|together wohnen|dwell
13:7	Und|and es|it war|was immer|continually Zank|cause zwischen|between den|the Hirten|feed über|over Abrams|Abram's Vieh|cattle und|and zwischen|between den|the Hirten|feed über|over Lots|Lot Vieh|cattle So|then wohnten|dwell auch|also zu|to der|the Zeit|time die|the Kanaaniter|Canaanite und|and Pheresiter|Perizzite im|in-the Lande|land
13:8	Da|then sprach|said Abram|Abram zu|to Lot|Lot Laß|let doch|please nicht|not Zank|strife sein|be thou zwischen|between mir|me und|and dir|you und|and zwischen|between meinen|feed und|and deinen|your Hirten|feed denn|for wir|we sind|are Gebrüder|kinsmen
13:9	Steht|is dir|face nicht|not alles|all Land|land offen|face Scheide|separate dich|you doch|please von|from mir|me Willst|will du|you zur|to-the Linken|left so|then will|will ich|I zur|to-the Rechten|right oder|or willst|will du|you zur|to-the Rechten|hand so|then will|will ich|I zur|to-the Linken|left
13:10	Da|then hob|bear Lot|Lot sein|his Augen|eye auf|bear und|and besah|see die|the ganze|whole Gegend|talent am|on-the Jordan|Jordan Denn|for ehe|face der|the HERR|GOD Sodom|Sodom und|and Gomorra|Gomorrah verderbte|destroy war|was sie|they wasserreich|drink bis|until man|one gen|to Zoar|Zoar kommt|comes als|when ein|a Garten|garden des|of-the HERRN|GOD gleichwie|like Ägyptenland|Egypt-land
13:11	Da|then erwählte|chose sich|himself Lot|Lot die|the ganze|whole Gegend|talent am|on-the Jordan|Jordan und|Lot zog|journey gegen|toward Morgen|east Also|so schied|separate sich|himself ein|a Bruder|brother von|from dem|the andern|another
13:12	daß|that Abram|Abram wohnte|dwell im|in-the Lande|land Kanaan|Canaan und|and Lot|Lot in|in den|the Städten|town der|the Jordangegend|talent und|and setzte|sat seine|his Hütte|tent gen|ever Sodom|Sodom
13:13	Aber|but die|the Leute|men zu|to Sodom|Sodom waren|were böse|evil und|and sündigten|sinner sehr|very wider|against den|the HERRN|GOD
13:14	Da|then nun|now Lot|Lot sich|himself von|from Abram|Abram geschieden|separated hatte|separate sprach|said der|the HERR|GOD zu|to Abram|Abram Hebe|bear dein|your Augen|eye auf|bear und|and siehe|see von|from der|the Stätte|place an|to da|then du|you wohnst|are gegen|toward Mittag|south gegen|toward Morgen|east und|and gegen|toward Abend|sea
13:15	Denn|for alles|all Land|land das|the du|you siehst|see will|put ich|I dir|you geben|put und|and deinem|your Samen|seed ewiglich|ever
13:16	und|and ich|I will|will deinen|your Samen|seed machen|put wie|as den|the Staub|dust auf|on Erden|earth Kann|could ein|a Mensch|man den|the Staub|dust auf|on Erden|earth zählen|number der|the wird|number auch|also deinen|your Samen|seed zählen|number
13:17	Darum|therefore so|then mache|make dich|you auf|arise und|and ziehe|go durch|through das|the Land|land in|in die|the Länge|length und|and Breite|breadth denn|for dir|you will|will ich|I s|IT geben|give
13:18	Also|so erhob|rose-up Abram|Abram sein|his Hütte|tent kam|came und|and wohnte|dwell im|in-the Hain|the-oaks Mamre|Mamre der|the zu|to Hebron|Hebron ist|is und|and baute|build daselbst|there dem|the HERRN|GOD einen|a Altar|altar
14:1	Und|and es|it begab|happened sich|— zu|in der|the Zeit|time des|of-the Königs|king Amraphel|Amraphel von|from Sinear|Shinar Ariochs|Arioch des|of-the Königs|king von|from Ellasar|Ellasar Kedor-Laomors|Chedorlaomer des|of-the Königs|king von|from Elam|Elam und|and Thideals|Tidal des|of-the Königs|king der|the Heiden|nations
14:2	daß|that sie|they kriegten|war mit|with Bera|Bera dem|the König|royal von|from Sodom|Sodom und|and mit|with Birsa|Birsha dem|the König|royal von|from Gomorra|Gomorrah und|and mit|with Sineab|Shinab dem|the König|royal von|from Adama|Admah und|and mit|with Semeber|Shemeber dem|the König|royal von|from Zeboim|Zeboim und|and mit|with dem|the König|royal von|from Bela|Bela das|the Zoar|Zoar heißt|he
14:3	Diese|these kamen|came alle|all zusammen|couple in|in das|the Tal|valley Siddim|Siddim wo|he nun|now das|the Salzmeer|salt ist|is
14:4	Denn|for sie|they waren|were zwölf|twelve Jahre|years unter|under dem|the König|king Kedor-Laomor|Chedorlaomer gewesen|served und|and im|in-the dreizehnten|thirteenth Jahr|year waren|— sie|they von|from ihm|him abgefallen|rebelled
14:5	Darum|therefore kam|came Kedor-|[Kedor-] Laomor|Chedorlaomer und|and die|the Könige|royal die|the mit|with ihm|him waren|were im|in-the vierzehnten|ten Jahr|year und|and schlugen|smite die|the Riesen|giant zu|to Astharoth-|[Astharoth-] Karnaim|Ashtoreth Karnaim und|and die|the Susiter|Zuzim zu|to Ham|Ham und|and die|the Emiter|Emim in|in dem|the Felde|field Kirjathaim|Shaveh-kiriathaim
14:6	und|and die|the Horiter|Horite auf|on dem|the Gebirge|mountain Seir|Seir bis|until El-|[El-] Pharan|Paran welches|in-the an|above die|the Wüste|wilderness stößt|above
14:7	Darnach|after wandten|turned-back sie|they um|return und|and kamen|came an|to den|the Born|Kadesh Mispat|Enmishpat das|the ist|is Kades|Kadesh und|and schlugen|smite das|the ganze|whole Land|field der|the Amalekiter|Amalekite dazu|also die|the Amoriter|Amorites die|the zu|to Hazezon-|[Hazezon-] Thamar|Tamar wohnten|dwell
14:8	Da|then zogen|went aus|bring der|the König|royal von|Sodom Sodom|Sodom der|the König|royal von|from Gomorra|Gomorrah der|the König|royal von|from Adama|Admah der|the König|royal von|from Zeboim|Zeboim und|and der|the König|royal von|from Bela|Bela das|he Zoar|Zoar heißt|is-called und|and rüsteten|drew-up sich|array zu|to streiten|war im|in-the Tal|valley Siddim|Siddim
14:9	mit|with Kedor-|[Kedor-] Laomor|Chedorlaomer dem|the König|royal von|from Elam|Elam und|and mit|with Thideal|Tidal dem|the König|royal der|the Heiden|nation und|and mit|with Amraphel|Amraphel dem|the König|royal von|from Sinear|Shinar und|and mit|with Arioch|Arioch dem|the König|royal von|from Ellasar|Ellasar vier|four Könige|royal mit|with fünfen|five
14:10	Das|the Tal|valley Siddim|Siddim aber|but hatte|had viel|many Erdharzgruben|bitumen-pits und|and die|the Könige|royal von|from Sodom|Sodom und|and Gomorra|Gomorrah wurden|flee in|in die|the Flucht|fell geschlagen|flee und|and fielen|fall da|then hinein|in und|and was|what übrig|and-those blieb|leave floh|flee auf|on das|the Gebirge|mountain
14:11	Da|then nahmen|take sie|they alle|all Habe|goods zu|to Sodom|Sodom und|and Gomorra|Gomorrah und|and alle|all Speise|food und|and zogen|went davon|go
14:12	Sie|they nahmen|take auch|also mit|with sich|himself Lot|Lot Abrams|Abram's Bruderssohn|old und|and seine|his Habe|goods denn|for er|he wohnte|dwell zu|to Sodom|Sodom und|and zogen|went davon|go
14:13	Da|then kam|came einer|one der|the entronnen|escape war|was und|and sagte|tell es|it Abram|Abram an|tell dem|the Ausländer|Hebrew der|the da|then wohnte|dwell im|in-the Hain|the-oaks Mamres|Mamre des|of-the Amoriters|Amorite welcher|which ein|a Bruder|brother war|was Eskols|Eshcol und|and Aners|Aner Diese|these waren|were mit|with Abram|Abram im|in-the Bunde|man
14:14	Als|when nun|now Abram|Abram hörte|hear daß|that sein|his Bruder|brother gefangen|taken-captive war|take wappnete|led-forth er|empty seine|his Knechte|trained dreihundertundachtzehn|three in|in seinem|his Hause|household geboren|born und|and jagte|pursued ihnen|them nach|pursue bis|until gen|to Dan|Dan
14:15	und|and teilte|divided sich|divide fiel|fell des|of-the Nachts|night über|over sie|they mit|with seinen|his Knechten|servant und|and schlug|smite sie|they und|and jagte|pursue sie|they bis|until gen|to Hoba|Hobah das|the zur|to-the Linken|left der|the Stadt|city Damaskus|Damascus liegt|lies
14:16	und|and brachte|return alle|all Habe|goods wieder|return dazu|also auch|also Lot|Lot seinen|his Bruder|brother mit|with seiner|his Habe|goods auch|also die|the Weiber|wives und|and das|the Volk|nation
14:17	Als|when er|he nun|now wiederkam|return von|from der|the Schlacht|smite des|of-the Kedor-|[Kedor-] Laomor|Chedorlaomer und|and der|the Könige|royal mit|with ihm|him ging|bring ihm|him entgegen|meet der|the König|royal von|from Sodom|Sodom in|in das|the Feld|valley das|he Königstal|valley heißt|is-called
14:18	Aber|but Melchisedek|Melchizedek der|the König|royal von|from Salem|Salem trug|bring Brot|bread und|and Wein|wine hervor|bring Und|and er|he war|was ein|a Priester|priest Gottes|of-God des|of-the Höchsten|High
14:19	Und|and segnete|bless ihn|him und|and sprach|said Gesegnet|blessed seist|bless du|you Abram|Abram dem|the höchsten|High Gott|God der|the Himmel|heaven und|and Erde|earth geschaffen|created hat|Buy
14:20	und|and gelobt|blessed sei|bless Gott|God der|the Höchste|High der|the deine|your Feinde|enemy in|in deine|your Hand|by beschlossen|delivered hat|deliver Und|and demselben|to-him gab|put Abram|Abram den|the Zehnten|tithe von|from allem|all
14:21	Da|then sprach|said der|the König|royal von|from Sodom|Sodom zu|to Abram|Abram Gib|put mir|me die|the Leute|soul die|the Güter|goods behalte|take dir|you
14:22	Aber|but Abram|Abram sprach|said zu|to dem|the König|royal von|from Sodom|Sodom Ich|I hebe|exalt mein|my Hände|by auf|on zu|to dem|the HERRN|GOD dem|the höchsten|High Gott|God der|the Himmel|heaven und|and Erde|earth geschaffen|created hat|Buy
14:23	daß|that ich|I von|from allem|all was|what dein|your ist|is nicht|not einen|a Faden|thread noch|still einen|a Schuhriemen|shoe nehmen|take will|will daß|that du|you nicht|not sagst|say du|you hast|have Abram|Abram reich|rich gemacht|rich
14:24	ausgenommen|except was|what die|the Jünglinge|servant verzehrt|have-eaten haben|have und|portion die|the Männer|men Aner|Aner Eskol|Eshcol und|and Mamre|Mamre die|the mit|with mir|me gezogen|went sind|go die|walk laß|let ihr|you Teil|portion nehmen|take
15:1	Nach|after diesen|this Geschichten|word begab|happened sich|himself s|be thou daß|that zu|to Abram|Abram geschah|happened das|the Wort|word des|of-the HERRN|GOD im|in-the Gesicht|vision und|and sprach|said Fürchte|fear dich|you nicht|not Abram|Abram Ich|I bin|am dein|your Schild|shield und|and dein|your sehr|very großer|multiply Lohn|hire
15:2	Abram|Abram sprach|said aber|but Herr|LORD HERR|GOD was|what willst|will du|you mir|me geben|give Ich|I gehe|go dahin|away ohne|without Kinder|children und|and dieser|he Elieser|Eliezer von|from Damaskus|Damascus wird|will mein|my Haus|household besitzen|possess
15:3	Und|and Abram|Abram sprach|said weiter|further Mir|me hast|have du|put keinen|not Samen|seed gegeben|put und|and siehe|behold einer|old von|from meinem|my Gesinde|household soll|shall mein|my Erbe|heir sein|possess
15:4	Und|and siehe|behold der|the HERR|GOD sprach|said zu|to ihm|him Er|he soll|possess nicht|not dein|your Erbe|heir sein|possess sondern|but der|the von|from deinem|your Leib|bowels kommen|come wird|bring der|the soll|shall dein|your Erbe|heir sein|possess
15:5	Und|and er|he hieß|called ihn|him hinausgehen|bring und|and sprach|said Siehe|look gen|to Himmel|heaven und|and zähle|scribe die|the Sterne|star kannst|could du|you sie|they zählen|scribe und|and sprach|said zu|to ihm|him Also|also soll|shall dein|your Same|seed werden|be
15:6	Abram|Abram glaubte|believed dem|the HERRN|GOD und|and das|the rechnete|count er|he ihm|him zur|to-the Gerechtigkeit|righteousness
15:7	Und|and er|he sprach|said zu|to ihm|him Ich|I bin|am der|the HERR|GOD der|the dich|you von|from Ur|Ur in|in Chaldäa|Chaldeans ausgeführt|brought-out hat|bring daß|that ich|I dir|you dies|this Land|land zu|to besitzen|possess gebe|put
15:8	Abram|Abram aber|but sprach|said Herr|LORD HERR|GOD woran|what soll|shall ich|I merken|know daß|that ich|I s|IT besitzen|possess werde|shall
15:9	Und|and er|he sprach|said zu|to ihm|him Bringe|take mir|me eine|a dreijährige|three-year-old Kuh|heifer und|and eine|a dreijährige|three-year-old Ziege|goat und|and einen|a dreijährigen|three-year-old Widder|ram und|and eine|a Turteltaube|turtledove und|and eine|a junge|young Taube|pigeon
15:10	Und|and er|he brachte|take ihm|him solches|this alles|all und|and zerteilte|divided es|it mitten|in-the-midst voneinander|midst und|and legte|put einen|a Teil|part dem|the andern|neighbour gegenüber|meet aber|but die|the Vögel|bird zerteilte|cut er|divided nicht|not
15:11	Und|and die|the Raubvögel|fowl fielen|descend auf|on die|the Aase|carcase aber|but Abram|Abram scheuchte|drove-away sie|they davon|blow
15:12	Da|then nun|now die|the Sonne|sun am|on-the Untergehen|perish war|was fiel|fall ein|a tiefer|deep Schlaf|deep sleep auf|on Abram|Abram und|and siehe|behold Schrecken|dread und|and große|great Finsternis|darkness überfiel|fall ihn|him
15:13	Da|then sprach|said er|he zu|to Abram|Abram Das|this sollst|shall du|you wissen|know daß|that dein|your Same|seed wird|will fremd|stranger sein|be in|in einem|a Lande|land das|the nicht|not sein|theirs ist|is und|and da|there wird|will man|— sie|they zu|— dienen|serve zwingen|make und|and plagen|afflict vierhundert|four-hundred Jahre|years
15:14	Aber|but ich|I will|will richten|judge das|the Volk|nation dem|the sie|they dienen|serve müssen|must Darnach|after sollen|shall sie|they ausziehen|come-out mit|with großem|great Gut|goods
15:15	Und|and du|you sollst|shall fahren|go zu|to deinen|your Vätern|fathers mit|with Frieden|peace und|and in|in gutem|good Alter|grayheaded begraben|buried werden|bury
15:16	Sie|they aber|but sollen|shall nach|after vier|fourth Mannesaltern|generation wieder|return hierher|here kommen|return denn|for die|the Missetat|iniquity der|the Amoriter|Amorites ist|is noch|here nicht|not voll|perfect
15:17	Als|when nun|now die|the Sonne|sun untergegangen|had-gone-down und|and es|it finster|twilight geworden|become war|was siehe|behold da|then rauchte|smoke ein|a Ofen|oven und|and ein|a Feuerflamme|flaming-torch fuhr|pass zwischen|between den|the Stücken|piece hin|pass
15:18	An|to dem|he Tage|time machte|make der|the HERR|GOD einen|a Bund|covenant mit|with Abram|Abram und|and sprach|said Deinem|your Samen|seed will|put ich|I dies|this Land|land geben|put von|from dem|the Wasser|river Ägyptens|Egypt an|to bis|until an|to das|the große|great Wasser|river Euphrat|Euphrates
15:19	die|the Keniter|Kenite die|the Kenisiter|Kenezite die|the Kadmoniter|Kadmonites
15:20	die|the Hethiter|Hittite die|the Pheresiter|Perizzite die|the Riesen|giant
15:21	die|the Amoriter|Amorites die|the Kanaaniter|Canaanite die|the Girgasiter|Girgashite die|the Jebusiter|Jebusite
16:1	Sarai|Sarai Abrams|Abram's Weib|wife gebar|beget ihm|him kein|no Kind|beget Sie|they hatte|had eine|a ägyptische|Egyptian Magd|handmaid die|the hieß|name Hagar|Hagar
16:2	Und|and sie|Sarai sprach|said zu|to Abram|Abram Siehe|behold der|the HERR|GOD hat|has mich|me verschlossen|stayed daß|that ich|I nicht|not gebären|bear kann|beget Gehe|go doch|please zu|to meiner|my Magd|handmaid ob|whether ich|I vielleicht|perhaps aus|from ihr|you mich|me aufbauen|build-up möge|build Und|and Abram|Abram gehorchte|hear der|the Stimme|voice Sarais|Sarai
16:3	Da|then nahm|take Sarai|Sarai Abrams|Abram's Weib|wife ihre|their ägyptische|Egyptian Magd|handmaid Hagar|Hagar und|and gab|put sie|they Abram|Abram ihrem|her Mann|man zum|as-a Weibe|wife nachdem|end sie|they zehn|ten Jahre|year im|in-the Lande|land Kanaan|Canaan gewohnt|dwelt hatten|dwell
16:4	Und|and er|he ging|went zu|to Hagar|Hagar die|the ward|was schwanger|conceive Als|when sie|they nun|now sah|see daß|that sie|they schwanger|pregnant war|conceive achtete|curse sie|they ihre|their Frau|mistress gering|curse gegen|toward sich|eye
16:5	Da|then sprach|said Sarai|Sarai zu|to Abram|Abram Du|you tust|do unrecht|violence an|to mir|me Ich|I habe|have meine|my Magd|handmaid dir|you in|in die|the Arme|bosom gegeben|put nun|now sie|they aber|but sieht|see daß|that sie|they schwanger|pregnant geworden|become ist|conceive muß|must ich|I gering|lightly sein|curse in|in ihren|their Augen|eye Der|the HERR|GOD sei|be Richter|plead zwischen|between mir|me und|and dir|you
16:6	Abram|Abram aber|but sprach|said zu|to Sarai|Sarai Siehe|behold deine|your Magd|handmaid ist|is unter|under deiner|your Gewalt|power tue|do mit|with ihr|her wie|as dir|you s|IT gefällt|pleases Da|when sie|— nun|— Sarai|Sarai wollte|— demütigen|dealt-harshly floh|fled sie|she von|from ihr|her
16:7	Aber|but der|the Engel|angel des|of-the HERRN|GOD fand|find sie|they bei|with einem|a Wasserbrunnen|eye in|in der|the Wüste|wilderness nämlich|namely bei|with dem|the Brunnen|eye am|on-the Wege|way gen|to Sur|Shur
16:8	Der|the sprach|said zu|to ihr|you Hagar|Hagar Sarais|Sarai Magd|handmaid wo|where kommst|come du|you her|here und|and wo|where willst|will du|you hin|go Sie|they sprach|said Ich|I bin|am von|face meiner|my Frau|mistress Sarai|Sarai geflohen|flee
16:9	Und|and der|the Engel|angel des|of-the HERRN|GOD sprach|said zu|to ihr|you Kehre|return wieder|return um|for zu|to deiner|your Frau|mistress und|and demütige|humble dich|afflict unter|under ihre|their Hand|by
16:10	Und|and der|the Engel|angel des|of-the HERRN|GOD sprach|said zu|to ihr|you Ich|I will|will deinen|your Samen|seed also|multiply mehren|multiply daß|that er|he vor|before großer|great Menge|multitude nicht|not soll|shall gezählt|counted werden|scribe
16:11	Weiter|further sprach|said der|the Engel|angel des|of-the HERRN|GOD zu|to ihr|you Siehe|behold du|you bist|are schwanger|conceive geworden|become und|and wirst|will einen|a Sohn|old gebären|beget des|of-the namen|name sollst|shall du|you Ismael|Ishmael heißen|call darum|therefore daß|that der|the HERR|GOD dein|your Elend|affliction erhört|heard hat|hear
16:12	Er|he wird|will ein|a wilder|wild Mensch|man sein|his seine|his Hand|by wider|against jedermann|everyone und|and jedermanns|everyone's Hand|by wider|against ihn|him und|and wird|will gegen|face alle|all seine|his Brüder|brothers wohnen|dwell
16:13	Und|and sie|they hieß|call den|the Namen|name des|of-the HERRN|GOD der|the mit|with ihr|you redete|speak Du|you Gott|God siehst|see mich|me Denn|for sie|they sprach|said Gewiß|surely habe|have ich|I hier|hither gesehen|see den|the der|the mich|me hernach|afterwards angesehen|seen hat|see
16:14	Darum|therefore hieß|called man|call den|the Brunnen|well einen|a Brunnen|well des|of-the Lebendigen|living der|the mich|me ansieht|sees-me welcher|which Brunnen|well ist|is zwischen|between Kades|Kadesh und|and Bared|Bered
16:15	Und|and Hagar|Hagar gebar|beget einen|a Sohn|old und|and Abram|Abram hieß|call den|the Sohn|old den|the ihm|him Hagar|Hagar gebar|beget Ismael|Ishmael
16:16	Und|and Abram|Abram war|was sechsundachtzig|six Jahre|year alt|old da|then ihm|him Hagar|Hagar den|the Ismael|Ishmael gebar|beget
17:1	Als|when nun|now Abram|Abram neunundneunzig|nine Jahre|year alt|old war|was erschien|see ihm|him der|the HERR|GOD und|and sprach|said zu|to ihm|him Ich|I bin|am der|the allmächtige|Almighty Gott|God wandle|go vor|before mir|face und|and sei|be fromm|perfect
17:2	Und|and ich|I will|will meinen|my Bund|covenant zwischen|between mir|me und|and dir|you machen|put und|and ich|I will|will dich|you gar|very sehr|very mehren|multiply
17:3	Da|then fiel|fall Abram|Abram auf|on sein|his Angesicht|face Und|and Gott|God redete|speak weiter|further mit|with ihm|him und|and sprach|said
17:4	Siehe|behold ich|I bin|am s|IT und|and habe|have meinen|my Bund|covenant mit|with dir|you und|and du|you sollst|shall ein|a Vater|father vieler|many Völker|nations werden|be
17:5	Darum|therefore sollst|shall du|you nicht|not mehr|more Abram|Abram heißen|name sondern|but Abraham|Abraham soll|shall dein|your Name|name sein|his denn|for ich|I habe|have dich|you gemacht|put zum|as-a Vater|father vieler|multitude Völker|nation
17:6	und|and will|will dich|you gar|exceedingly sehr|— fruchtbar|fruitful machen|make und|and will|will von|from dir|you Völker|nations machen|make und|and sollen|shall auch|also Könige|kings von|from dir|you kommen|come
17:7	Und|and ich|I will|will aufrichten|arise meinen|my Bund|covenant zwischen|between mir|me und|and dir|you und|and deinem|your Samen|seed nach|after dir|you bei|with ihren|their Nachkommen|generation daß|that es|it ein|a ewiger|ever Bund|covenant sei|be also|so daß|that ich|I dein|your Gott|God sei|be und|and deines|your Samens|seed nach|after dir|you
17:8	und|and ich|I will|will dir|you und|and deinem|your Samen|seed nach|after dir|you geben|put das|the Land|land darin|in-it du|you ein|a Fremdling|pilgrimage bist|are das|the ganze|whole Land|land Kanaan|Canaan zu|to ewiger|ever Besitzung|possession und|and will|will ihr|you Gott|God sein|his
17:9	Und|and Gott|God sprach|said zu|to Abraham|Abraham So|then halte|keep nun|now meinen|my Bund|covenant du|you und|and dein|your Same|seed nach|after dir|you bei|with ihren|their Nachkommen|generation
17:10	Das|the ist|is aber|but mein|my Bund|covenant den|the ihr|you halten|keep sollt|keep zwischen|between mir|me und|and euch|you und|and deinem|your Samen|seed nach|after dir|you Alles|all was|what männlich|male ist|is unter|under euch|you soll|shall beschnitten|circumcised werden|circumcise
17:11	Ihr|you sollt|shall aber|but die|the Vorhaut|foreskin an|to eurem|your Fleisch|flesh beschneiden|circumcised Das|the soll|shall ein|a Zeichen|sign sein|his des|of-the Bundes|covenant zwischen|between mir|me und|and euch|you
17:12	Ein|a jegliches|one Knäblein|old wenn|when s|[s] acht|eight Tage|time alt|old ist|is sollt|shall ihr|you beschneiden|circumcise bei|with euren|your Nachkommen|generation
17:13	Beschnitten|circumcised werden|circumcise soll|circumcise alles|all Gesinde|household das|the dir|you daheim|household geboren|born oder|or erkauft|bought ist|is Und|and also|so soll|shall mein|my Bund|covenant an|to eurem|your Fleisch|flesh sein|his zum|as-a ewigen|ever Bund|covenant
17:14	Und|and wo|where ein|a Mannsbild|male nicht|not wird|will beschnitten|circumcise an|to der|the Vorhaut|foreskin seines|his Fleisches|flesh des|of-the Seele|soul soll|shall ausgerottet|cut-off werden|make aus|from seinem|his Volk|nation darum|therefore daß|that es|it meinen|my Bund|covenant unterlassen|broken hat|break
17:15	Und|and Gott|God sprach|said abermals|again zu|to Abraham|Abraham Du|you sollst|shall dein|your Weib|wife Sarai|Sarai nicht|not mehr|more Sarai|Sarai heißen|name sondern|and Sara|Sarah soll|shall ihr|you Name|name sein|his
17:16	Denn|for ich|I will|will sie|they segnen|bless und|and auch|also von|from ihr|you will|will ich|I dir|you einen|a Sohn|old geben|put denn|for ich|I will|will sie|they segnen|bless und|and Völker|nation sollen|shall aus|from ihr|you werden|be und|and Könige|royal über|over viele|many Völker|nation
17:17	Da|then fiel|fall Abraham|Abraham auf|on sein|his Angesicht|face und|and lachte|laugh und|and sprach|said in|in seinem|his Herzen|heart Soll|shall mir|me hundert|hundred Jahre|year alt|old ein|a Kind|child geboren|born werden|beget und|and Sara|Sarah neunzig|ninety Jahre|year alt|daughter gebären|beget
17:18	Und|and Abraham|Abraham sprach|said zu|to Gott|God Ach|oh daß|if Ismael|Ishmael leben|live sollte|would vor|before dir|face
17:19	Da|then sprach|said Gott|God Ja|yes Sara|Sarah dein|your Weib|wife soll|shall dir|you einen|a Sohn|old gebären|beget den|the sollst|shall du|you Isaak|Isaac heißen|name denn|for mit|with ihm|him will|will ich|I meinen|my ewigen|ever Bund|covenant aufrichten|arise und|and mit|with seinem|his Samen|seed nach|after ihm|him
17:20	Dazu|also um|for Ismael|Ishmael habe|have ich|I dich|you auch|also erhört|hear Siehe|behold ich|I habe|have ihn|him gesegnet|bless und|and will|will ihn|him fruchtbar|fruitful machen|fruitful und|and mehren|multiply gar|very sehr|very Zwölf|ten Fürsten|prince wird|will er|he zeugen|beget und|and ich|I will|will ihn|him zum|as-a großen|great Volk|nation machen|put
17:21	Aber|but meinen|my Bund|covenant will|will ich|I aufrichten|arise mit|with Isaak|Isaac den|the dir|you Sara|Sarah gebären|bear soll|beget um|for diese|these Zeit|congregation im|in-the andern|another Jahr|year
17:22	Und|and er|he hörte|heard auf|consume mit|with ihm|him zu|to reden|speak Und|and Gott|God fuhr|went auf|offer von|from Abraham|Abraham
17:23	Da|then nahm|take Abraham|Abraham seinen|his Sohn|old Ismael|Ishmael und|and alle|all Knechte|servants die|the daheim|household geboren|born und|and alle|all die|the erkauft|bought und|and alles|all was|what männlich|male war|was in|in seinem|his Hause|household und|and beschnitt|circumcise die|the Vorhaut|foreskin an|to ihrem|her Fleisch|flesh ebendesselben|bone Tages|time wie|as ihm|him Gott|God gesagt|said hatte|speak
17:24	Und|and Abraham|Abraham war|was neunundneunzig|nine Jahre|year alt|old da|then er|he die|the Vorhaut|foreskin an|to seinem|his Fleisch|flesh beschnitt|circumcise
17:25	Ismael|Ishmael aber|but sein|his Sohn|old war|was dreizehn|ten Jahre|year alt|old da|then seines|his Fleisches|flesh Vorhaut|foreskin beschnitten|circumcised ward|circumcise
17:26	Eben|on-that auf|on einen|bone Tag|time wurden|were sie|they alle|all beschnitten|circumcise Abraham|Abraham sein|his Sohn|old Ismael|Ishmael
17:27	und|and was|what männlich|male in|in seinem|his Hause|household war|was daheim|household geboren|born und|and erkauft|bought von|from Fremden|old es|it ward|was alles|all mit|with ihm|him beschnitten|circumcise
18:1	Und|and der|the HERR|GOD erschien|see ihm|him im|in-the Hain|the-oaks Mamre|Mamre da|then saß|dwell er|he an|to der|the Tür|door seiner|his Hütte|tent da|then der|the Tag|time am|on-the heißesten|heat war|was
